 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0400
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.4510
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           927
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0005        0.0591        0.0000        0.0000             -             -
     2        0.0045        0.2933        0.1116        0.0327             -             -
     3        0.0057        0.4510        0.1421        0.0641      -98.9795      -98.9795
     4        0.0008        0.4510        0.1430        0.0645      -10.1521       -9.0205
     5        0.0045        0.4510        0.1696        0.0765      -20.1969       -8.7411
     6        0.0005        0.4510        0.1696        0.0765      -61.1383      -98.9795
     7        0.0001        0.4510        0.1696        0.0765      -98.9795      -98.9795
     8        0.0005        0.4510        0.1696        0.0765      -61.1383      -98.9795
     9        0.0036        0.4510        0.1846        0.0832       -8.9309       -6.1659
    10        0.0009        0.4510        0.1851        0.0835      -19.0928      -21.0437
    11        0.0071        0.4510        0.2207        0.0995      -12.8965       -7.2087
    12        0.0001        0.4510        0.2207        0.0995      -98.9795      -98.9795
    13        0.0002        0.4510        0.2207        0.0995      -98.9795      -98.9795
    14        0.0014        0.4510        0.2220        0.1001      -20.3679      -23.0754
    15        0.0075        0.4510        0.2516        0.1135       -8.9941       -6.1769
    16        0.0022        0.4510        0.2544        0.1147      -17.0740      -18.0201
    17        0.0015        0.4510        0.2554        0.1152      -55.0126      -98.9795
    18        0.0070        0.4510        0.2767        0.1248       -8.2834       -6.4247
    19        0.0037        0.4510        0.2827        0.1275      -12.3297      -11.6831
    20        0.0017        0.4510        0.2838        0.1280      -98.9795      -98.9795
    21        0.0070        0.4510        0.3015        0.1360       -8.7181       -7.2068
    22        0.0013        0.4510        0.3016        0.1360      -98.9795      -98.9795
    23        0.0006        0.4510        0.3016        0.1360      -98.9795      -98.9795
    24        0.0030        0.4510        0.3052        0.1377      -23.6227      -28.7555
    25        0.0010        0.4510        0.3052        0.1377      -98.9795      -98.9795
    26        0.0073        0.4510        0.3217        0.1451       -9.2419       -7.8982
    27        0.0092        0.4510        0.3435        0.1549       -8.9006       -7.4562
    28        0.0063        0.4510        0.3537        0.1595      -12.8824      -12.3758
    29        0.0003        0.4510        0.3537        0.1595      -98.9795      -98.9795
    30        0.0013        0.4510        0.3537        0.1595      -98.9795      -98.9795
    31        0.0004        0.4510        0.3537        0.1595      -98.9795      -98.9795
    32        0.0006        0.4510        0.3537        0.1595      -98.9795      -98.9795
    33        0.0002        0.4510        0.3537        0.1595      -98.9795      -98.9795
    34        0.0008        0.4510        0.3537        0.1595      -98.9795      -98.9795
    35        0.0063        0.4510        0.3636        0.1640      -14.0522      -13.8767
    36        0.0045        0.4510        0.3690        0.1664      -30.1609      -42.9252
    37        0.0032        0.4510        0.3717        0.1676      -98.9795      -98.9795
    38        0.0014        0.4510        0.3717        0.1676      -98.9795      -98.9795
    39        0.0020        0.4510        0.3722        0.1679      -98.9795      -98.9795
    40        0.0004        0.4510        0.3722        0.1679      -98.9795      -98.9795
    41        0.0064        0.4510        0.3816        0.1721      -16.4744      -17.1639
    42        0.0048        0.4510        0.3873        0.1747      -37.5794      -65.8456
    43        0.0068        0.4510        0.3970        0.1790      -17.6552      -18.8677
    44        0.0020        0.4510        0.3973        0.1792      -98.9795      -98.9795
    45        0.0008        0.4510        0.3973        0.1792      -98.9795      -98.9795
    46        0.0113        0.4510        0.4177        0.1884      -10.8332       -9.8469
    47        0.0008        0.4510        0.4177        0.1884      -98.9795      -98.9795
    48        0.0008        0.4510        0.4177        0.1884      -98.9795      -98.9795
    49        0.0032        0.4510        0.4195        0.1892      -98.9795      -98.9795
    50        0.0058        0.4510        0.4261        0.1922      -49.7441      -98.9795
    51        0.0013        0.4510        0.4261        0.1922      -98.9795      -98.9795
    52        0.0008        0.4510        0.4261        0.1922      -98.9795      -98.9795
    53        0.0010        0.4510        0.4261        0.1922      -98.9795      -98.9795
    54        0.0037        0.4510        0.4286        0.1933      -98.9795      -98.9795
    55        0.0015        0.4510        0.4286        0.1933      -98.9795      -98.9795
    56        0.0025        0.4510        0.4293        0.1936      -98.9795      -98.9795
    57        0.0048        0.4510        0.4337        0.1956      -98.9795      -98.9795
    58        0.0004        0.4510        0.4337        0.1956      -98.9795      -98.9795
    59        0.0007        0.4510        0.4337        0.1956      -98.9795      -98.9795
    60        0.0018        0.4510        0.4337        0.1956      -98.9795      -98.9795
    61        0.0001        0.4510        0.4337        0.1956      -98.9795      -98.9795
    62        0.0006        0.4510        0.4337        0.1956      -98.9795      -98.9795
    63        0.0008        0.4510        0.4337        0.1956      -98.9795      -98.9795
    64        0.0010        0.4510        0.4337        0.1956      -98.9795      -98.9795
    65        0.0025        0.4510        0.4343        0.1959      -98.9795      -98.9795
    66        0.0012        0.4510        0.4343        0.1959      -98.9795      -98.9795
    67        0.0033        0.4510        0.4361        0.1967      -98.9795      -98.9795
    68        0.0003        0.4510        0.4361        0.1967      -98.9795      -98.9795
    69        0.0001        0.4510        0.4361        0.1967      -98.9795      -98.9795
    70        0.0057        0.4510        0.4421        0.1994      -98.9795      -98.9795
    71        0.0012        0.4510        0.4421        0.1994      -98.9795      -98.9795
    72        0.0004        0.4510        0.4421        0.1994      -98.9795      -98.9795
    73        0.0005        0.4510        0.4421        0.1994      -98.9795      -98.9795
    74        0.0007        0.4510        0.4421        0.1994      -98.9795      -98.9795
    75        0.0045        0.4510        0.4457        0.2010      -98.9795      -98.9795
    76        0.0010        0.4510        0.4457        0.2010      -98.9795      -98.9795
    77        0.0009        0.4510        0.4457        0.2010      -98.9795      -98.9795
    78        0.0037        0.4510        0.4479        0.2020      -98.9795      -98.9795
    79        0.0040        0.4510        0.4505        0.2032      -98.9795      -98.9795
    80        0.0040        0.4510        0.4531        0.2043      -98.9795      -98.9795
    81        0.0049        0.4510        0.4571        0.2062      -98.9795      -98.9795
    82        0.0063        0.4510        0.4637        0.2091      -98.9795      -98.9795
    83        0.0004        0.4510        0.4637        0.2091      -98.9795      -98.9795
    84        0.0020        0.4510        0.4637        0.2091      -98.9795      -98.9795
    85        0.0030        0.4510        0.4646        0.2095      -98.9795      -98.9795
    86        0.0032        0.4510        0.4658        0.2101      -98.9795      -98.9795
    87        0.0013        0.4510        0.4658        0.2101      -98.9795      -98.9795
    88        0.0005        0.4510        0.4658        0.2101      -98.9795      -98.9795
    89        0.0010        0.4510        0.4658        0.2101      -98.9795      -98.9795
    90        0.0005        0.4510        0.4658        0.2101      -98.9795      -98.9795
    91        0.0115        0.4510        0.4823        0.2175      -16.7740      -17.5895
    92        0.0003        0.4510        0.4823        0.2175      -98.9795      -98.9795
    93        0.0001        0.4510        0.4823        0.2175      -98.9795      -98.9795
    94        0.0008        0.4510        0.4823        0.2175      -98.9795      -98.9795
    95        0.0005        0.4510        0.4823        0.2175      -98.9795      -98.9795
    96        0.0004        0.4510        0.4823        0.2175      -98.9795      -98.9795
    97        0.0026        0.4510        0.4826        0.2176      -98.9795      -98.9795
    98        0.0027        0.4510        0.4830        0.2178      -98.9795      -98.9795
    99        0.0005        0.4510        0.4830        0.2178      -98.9795      -98.9795
   100        0.0108        0.4510        0.4973        0.2243      -22.3423      -26.4303
   101        0.0040        0.4510        0.4991        0.2251      -98.9795      -98.9795
   102        0.0024        0.4510        0.4991        0.2251      -98.9795      -98.9795
   103        0.0013        0.4510        0.4991        0.2251      -98.9795      -98.9795
   104        0.0013        0.4510        0.4991        0.2251      -98.9795      -98.9795
   105        0.0009        0.4510        0.4991        0.2251      -98.9795      -98.9795
   106        0.0032        0.4510        0.5000        0.2255      -98.9795      -98.9795
   107        0.0006        0.4510        0.5000        0.2255      -98.9795      -98.9795
   108        0.0135        0.4510        0.5188        0.2340      -17.5264      -18.6783
   109        0.0047        0.4510        0.5213        0.2351      -98.9795      -98.9795
   110        0.0157        0.4510        0.5433        0.2450      -16.4885      -17.1838
   111        0.0009        0.4510        0.5433        0.2450      -98.9795      -98.9795
   112        0.0058        0.4510        0.5469        0.2467      -98.9795      -98.9795
   113        0.0015        0.4510        0.5469        0.2467      -98.9795      -98.9795
   114        0.0065        0.4510        0.5515        0.2487      -98.9795      -98.9795
   115        0.0002        0.4510        0.5515        0.2487      -98.9795      -98.9795
   116        0.0013        0.4510        0.5515        0.2487      -98.9795      -98.9795
   117        0.0038        0.4510        0.5525        0.2492      -98.9795      -98.9795
   118        0.0001        0.4510        0.5525        0.2492      -98.9795      -98.9795
   119        0.0004        0.4510        0.5525        0.2492      -98.9795      -98.9795
   120        0.0048        0.4510        0.5546        0.2501      -98.9795      -98.9795
   121        0.0024        0.4510        0.5546        0.2501      -98.9795      -98.9795
   122        0.0032        0.4510        0.5550        0.2503      -98.9795      -98.9795
   123        0.0013        0.4510        0.5550        0.2503      -98.9795      -98.9795
   124        0.0016        0.4510        0.5550        0.2503      -98.9795      -98.9795
   125        0.0025        0.4510        0.5550        0.2503      -98.9795      -98.9795
   126        0.0023        0.4510        0.5550        0.2503      -98.9795      -98.9795
   127        0.0032        0.4510        0.5554        0.2505      -98.9795      -98.9795
   128        0.0040        0.4510        0.5566        0.2510      -98.9795      -98.9795
   129        0.0015        0.4510        0.5566        0.2510      -98.9795      -98.9795
   130        0.0053        0.4510        0.5593        0.2522      -98.9795      -98.9795
   131        0.0011        0.4510        0.5593        0.2522      -98.9795      -98.9795
   132        0.0004        0.4510        0.5593        0.2522      -98.9795      -98.9795
   133        0.0032        0.4510        0.5597        0.2524      -98.9795      -98.9795
   134        0.0020        0.4510        0.5597        0.2524      -98.9795      -98.9795
   135        0.0048        0.4510        0.5617        0.2533      -98.9795      -98.9795
   136        0.0006        0.4510        0.5617        0.2533      -98.9795      -98.9795
   137        0.0013        0.4510        0.5617        0.2533      -98.9795      -98.9795
   138        0.0017        0.4510        0.5617        0.2533      -98.9795      -98.9795
   139        0.0011        0.4510        0.5617        0.2533      -98.9795      -98.9795
   140        0.0086        0.4510        0.5692        0.2567      -98.9795      -98.9795
   141        0.0156        0.4510        0.5885        0.2654      -26.3750      -34.2084
   142        0.0007        0.4510        0.5885        0.2654      -98.9795      -98.9795
   143        0.0007        0.4510        0.5885        0.2654      -98.9795      -98.9795
   144        0.0005        0.4510        0.5885        0.2654      -98.9795      -98.9795
   145        0.0007        0.4510        0.5885        0.2654      -98.9795      -98.9795
   146        0.0003        0.4510        0.5885        0.2654      -98.9795      -98.9795
   147        0.0002        0.4510        0.5885        0.2654      -98.9795      -98.9795
   148        0.0011        0.4510        0.5885        0.2654      -98.9795      -98.9795
   149        0.0001        0.4510        0.5885        0.2654      -98.9795      -98.9795
   150        0.0001        0.4510        0.5885        0.2654      -98.9795      -98.9795
   151        0.0038        0.4510        0.5892        0.2657      -98.9795      -98.9795
