 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0760
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.6940
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           938
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0006        0.1691        0.0000        0.0000             -             -
     2        0.0059        0.6731        0.1121        0.0755             -             -
     3        0.0075        0.6940        0.2084        0.1446      -98.9795      -98.9795
     4        0.0011        0.6940        0.2100        0.1457      -98.9795      -98.9795
     5        0.0059        0.6940        0.2314        0.1606       -8.2747       -6.3712
     6        0.0007        0.6940        0.2317        0.1608      -98.9795      -98.9795
     7        0.0002        0.6940        0.2317        0.1608      -98.9795      -98.9795
     8        0.0001        0.6940        0.2317        0.1608      -98.9795      -98.9795
     9        0.0007        0.6940        0.2320        0.1610      -98.9795      -98.9795
    10        0.0047        0.6940        0.2450        0.1700       -9.3758       -8.0667
    11        0.0011        0.6940        0.2460        0.1707      -98.9795      -98.9795
    12        0.0094        0.6940        0.2783        0.1932       -8.2755       -6.3051
    13        0.0001        0.6940        0.2783        0.1932      -98.9795      -98.9795
    14        0.0003        0.6940        0.2783        0.1932      -98.9795      -98.9795
    15        0.0019        0.6940        0.2807        0.1948      -98.9795      -98.9795
    16        0.0099        0.6940        0.3089        0.2144       -8.5799       -7.0062
    17        0.0029        0.6940        0.3129        0.2172      -98.9795      -98.9795
    18        0.0019        0.6940        0.3147        0.2184      -98.9795      -98.9795
    19        0.0092        0.6940        0.3356        0.2329      -10.1449       -9.0118
    20        0.0049        0.6940        0.3434        0.2383      -32.3204      -48.6733
    21        0.0023        0.6940        0.3455        0.2398      -98.9795      -98.9795
    22        0.0092        0.6940        0.3633        0.2522      -12.3560      -11.7159
    23        0.0016        0.6940        0.3641        0.2527      -98.9795      -98.9795
    24        0.0008        0.6940        0.3641        0.2527      -98.9795      -98.9795
    25        0.0040        0.6940        0.3691        0.2562      -98.9795      -98.9795
    26        0.0014        0.6940        0.3696        0.2565      -98.9795      -98.9795
    27        0.0095        0.6940        0.3867        0.2684      -14.5221      -14.4943
    28        0.0121        0.6940        0.4088        0.2837      -12.6781      -12.1188
    29        0.0082        0.6940        0.4211        0.2923      -33.6068      -52.4192
    30        0.0004        0.6940        0.4211        0.2923      -98.9795      -98.9795
    31        0.0017        0.6940        0.4216        0.2926      -98.9795      -98.9795
    32        0.0006        0.6940        0.4216        0.2926      -98.9795      -98.9795
    33        0.0008        0.6940        0.4216        0.2926      -98.9795      -98.9795
