 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.1210
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.0330
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           411
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0001        0.0330        0.0000        0.0000             -             -
     2        0.0002        0.0330        0.0788        0.0026      -98.9795      -98.9795
     3        0.0001        0.0330        0.0805        0.0027      -98.9795      -98.9795
     4        0.0001        0.0330        0.0819        0.0027      -98.9795      -98.9795
     5        0.0002        0.0330        0.0947        0.0031      -16.0609      -16.5838
     6        0.0002        0.0330        0.1042        0.0034      -39.7330      -74.5836
     7        0.0001        0.0330        0.1042        0.0034      -98.9795      -98.9795
     8        0.0002        0.0330        0.1116        0.0037      -98.9795      -98.9795
     9        0.0001        0.0330        0.1116        0.0037      -98.9795      -98.9795
    10        0.0002        0.0330        0.1174        0.0039      -98.9795      -98.9795
    11        0.0001        0.0330        0.1174        0.0039      -98.9795      -98.9795
    12        0.0002        0.0330        0.1221        0.0040      -98.9795      -98.9795
    13        0.0003        0.0330        0.1351        0.0045      -98.9795      -98.9795
    14        0.0002        0.0330        0.1371        0.0045      -98.9795      -98.9795
    15        0.0002        0.0330        0.1389        0.0046      -98.9795      -98.9795
    16        0.0001        0.0330        0.1389        0.0046      -98.9795      -98.9795
    17        0.0001        0.0330        0.1389        0.0046      -98.9795      -98.9795
    18        0.0001        0.0330        0.1389        0.0046      -98.9795      -98.9795
    19        0.0002        0.0330        0.1405        0.0046      -98.9795      -98.9795
    20        0.0001        0.0330        0.1405        0.0046      -98.9795      -98.9795
    21        0.0002        0.0330        0.1419        0.0047      -98.9795      -98.9795
    22        0.0001        0.0330        0.1419        0.0047      -98.9795      -98.9795
    23        0.0003        0.0330        0.1501        0.0050      -98.9795      -98.9795
    24        0.0001        0.0330        0.1501        0.0050      -98.9795      -98.9795
