 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0590
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.3070
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           927
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0005        0.1099        0.0000        0.0000             -             -
     2        0.0046        0.3070        0.1058        0.0325             -             -
     3        0.0059        0.3070        0.1914        0.0588      -98.9795      -98.9795
     4        0.0008        0.3070        0.1929        0.0592      -88.2016      -98.9795
     5        0.0046        0.3070        0.2265        0.0695       -8.3031       -6.2303
     6        0.0005        0.3070        0.2265        0.0695      -98.9795      -98.9795
     7        0.0001        0.3070        0.2265        0.0695      -98.9795      -98.9795
     8        0.0005        0.3070        0.2265        0.0695      -98.9795      -98.9795
     9        0.0037        0.3070        0.2445        0.0751       -9.6081       -8.3553
    10        0.0009        0.3070        0.2453        0.0753      -98.9795      -98.9795
    11        0.0074        0.3070        0.2911        0.0894       -8.2999       -6.4850
    12        0.0001        0.3070        0.2911        0.0894      -98.9795      -98.9795
    13        0.0002        0.3070        0.2911        0.0894      -98.9795      -98.9795
    14        0.0015        0.3070        0.2932        0.0900      -98.9795      -98.9795
    15        0.0078        0.3070        0.3298        0.1012       -9.3331       -8.0132
    16        0.0023        0.3070        0.3338        0.1025      -98.9795      -98.9795
    17        0.0015        0.3070        0.3351        0.1029      -98.9795      -98.9795
    18        0.0072        0.3070        0.3607        0.1107      -12.8145      -12.2902
    19        0.0039        0.3070        0.3699        0.1136      -98.9795      -98.9795
    20        0.0018        0.3070        0.3714        0.1140      -98.9795      -98.9795
    21        0.0072        0.3070        0.3938        0.1209      -18.4171      -20.0064
    22        0.0013        0.3070        0.3938        0.1209      -98.9795      -98.9795
    23        0.0006        0.3070        0.3938        0.1209      -98.9795      -98.9795
    24        0.0031        0.3070        0.3987        0.1224      -98.9795      -98.9795
    25        0.0011        0.3070        0.3987        0.1224      -98.9795      -98.9795
    26        0.0075        0.3070        0.4202        0.1290      -24.8943      -31.1935
    27        0.0095        0.3070        0.4481        0.1376      -20.2351      -22.8590
    28        0.0065        0.3070        0.4625        0.1420      -98.9795      -98.9795
    29        0.0004        0.3070        0.4625        0.1420      -98.9795      -98.9795
    30        0.0013        0.3070        0.4625        0.1420      -98.9795      -98.9795
    31        0.0005        0.3070        0.4625        0.1420      -98.9795      -98.9795
    32        0.0006        0.3070        0.4625        0.1420      -98.9795      -98.9795
    33        0.0002        0.3070        0.4625        0.1420      -98.9795      -98.9795
