 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.1280
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.3560
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           820
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0001        0.1148        0.0000        0.0000             -             -
     2        0.0008        0.1514        0.0294        0.0045      -98.9795      -98.9795
     3        0.0010        0.2931        0.0497        0.0146      -98.9795      -98.9795
     4        0.0001        0.3560        0.0484        0.0172       -9.3795       -8.0715
     5        0.0008        0.3560        0.0736        0.0262      -98.9795      -43.6971
     6        0.0001        0.3560        0.0739        0.0263      -50.1257      -98.9795
     7        0.0001        0.3560        0.0742        0.0264      -52.9698      -98.9795
     8        0.0006        0.3560        0.0847        0.0301       -8.4609       -6.1433
     9        0.0002        0.3560        0.0859        0.0306      -19.3507      -21.4467
    10        0.0013        0.3560        0.1112        0.0396      -10.1343       -6.4557
    11        0.0003        0.3560        0.1128        0.0402      -50.5440      -98.9795
    12        0.0013        0.3560        0.1295        0.0461       -8.3478       -6.6057
    13        0.0004        0.3560        0.1316        0.0468      -98.9795      -98.9795
    14        0.0003        0.3560        0.1326        0.0472      -98.9795      -98.9795
    15        0.0012        0.3560        0.1437        0.0512      -10.1014       -8.9588
    16        0.0007        0.3560        0.1481        0.0527      -27.4993      -36.6362
    17        0.0003        0.3560        0.1488        0.0530      -98.9795      -98.9795
    18        0.0012        0.3560        0.1580        0.0562      -13.0160      -12.5448
    19        0.0002        0.3560        0.1580        0.0562      -98.9795      -98.9795
    20        0.0001        0.3560        0.1580        0.0562      -98.9795      -98.9795
    21        0.0005        0.3560        0.1600        0.0570      -98.9795      -98.9795
    22        0.0002        0.3560        0.1600        0.0570      -98.9795      -98.9795
    23        0.0013        0.3560        0.1693        0.0603      -14.8377      -14.9143
    24        0.0016        0.3560        0.1808        0.0644      -13.8404      -13.6012
    25        0.0011        0.3560        0.1869        0.0666      -49.5748      -98.9795
    26        0.0001        0.3560        0.1869        0.0666      -98.9795      -98.9795
    27        0.0002        0.3560        0.1869        0.0666      -98.9795      -98.9795
    28        0.0001        0.3560        0.1869        0.0666      -98.9795      -98.9795
    29        0.0001        0.3560        0.1869        0.0666      -98.9795      -98.9795
    30        0.0001        0.3560        0.1869        0.0666      -98.9795      -98.9795
    31        0.0011        0.3560        0.1928        0.0686      -93.1469      -98.9795
    32        0.0008        0.3560        0.1960        0.0698      -98.9795      -98.9795
    33        0.0006        0.3560        0.1977        0.0704      -98.9795      -98.9795
    34        0.0003        0.3560        0.1978        0.0704      -98.9795      -98.9795
    35        0.0003        0.3560        0.1979        0.0705      -98.9795      -98.9795
    36        0.0001        0.3560        0.1979        0.0705      -98.9795      -98.9795
    37        0.0011        0.3560        0.2032        0.0723      -98.9795      -98.9795
    38        0.0008        0.3560        0.2060        0.0733      -98.9795      -98.9795
    39        0.0012        0.3560        0.2116        0.0753      -98.9795      -98.9795
    40        0.0003        0.3560        0.2117        0.0754      -98.9795      -98.9795
    41        0.0001        0.3560        0.2117        0.0754      -98.9795      -98.9795
    42        0.0020        0.3560        0.2233        0.0795      -26.2152      -33.8732
    43        0.0001        0.3560        0.2233        0.0795      -98.9795      -98.9795
    44        0.0001        0.3560        0.2233        0.0795      -98.9795      -98.9795
    45        0.0006        0.3560        0.2245        0.0799      -98.9795      -98.9795
    46        0.0010        0.3560        0.2279        0.0811      -98.9795      -98.9795
    47        0.0002        0.3560        0.2279        0.0811      -98.9795      -98.9795
    48        0.0001        0.3560        0.2279        0.0811      -98.9795      -98.9795
    49        0.0002        0.3560        0.2279        0.0811      -98.9795      -98.9795
    50        0.0007        0.3560        0.2295        0.0817      -98.9795      -98.9795
    51        0.0003        0.3560        0.2295        0.0817      -98.9795      -98.9795
    52        0.0004        0.3560        0.2297        0.0818      -98.9795      -98.9795
    53        0.0008        0.3560        0.2318        0.0825      -98.9795      -98.9795
    54        0.0001        0.3560        0.2318        0.0825      -98.9795      -98.9795
    55        0.0001        0.3560        0.2318        0.0825      -98.9795      -98.9795
    56        0.0003        0.3560        0.2318        0.0825      -98.9795      -98.9795
    57        0.0001        0.3560        0.2318        0.0825      -98.9795      -98.9795
    58        0.0001        0.3560        0.2318        0.0825      -98.9795      -98.9795
    59        0.0002        0.3560        0.2318        0.0825      -98.9795      -98.9795
    60        0.0004        0.3560        0.2320        0.0826      -98.9795      -98.9795
    61        0.0002        0.3560        0.2320        0.0826      -98.9795      -98.9795
    62        0.0006        0.3560        0.2330        0.0830      -98.9795      -98.9795
    63        0.0001        0.3560        0.2330        0.0830      -98.9795      -98.9795
    64        0.0010        0.3560        0.2361        0.0841      -98.9795      -98.9795
    65        0.0002        0.3560        0.2361        0.0841      -98.9795      -98.9795
    66        0.0001        0.3560        0.2361        0.0841      -98.9795      -98.9795
    67        0.0001        0.3560        0.2361        0.0841      -98.9795      -98.9795
    68        0.0001        0.3560        0.2361        0.0841      -98.9795      -98.9795
    69        0.0008        0.3560        0.2381        0.0848      -98.9795      -98.9795
    70        0.0002        0.3560        0.2381        0.0848      -98.9795      -98.9795
    71        0.0002        0.3560        0.2381        0.0848      -98.9795      -98.9795
    72        0.0007        0.3560        0.2395        0.0852      -98.9795      -98.9795
    73        0.0007        0.3560        0.2408        0.0857      -98.9795      -98.9795
    74        0.0007        0.3560        0.2422        0.0862      -98.9795      -98.9795
    75        0.0009        0.3560        0.2445        0.0870      -98.9795      -98.9795
    76        0.0011        0.3560        0.2479        0.0882      -98.9795      -98.9795
    77        0.0001        0.3560        0.2479        0.0882      -98.9795      -98.9795
    78        0.0004        0.3560        0.2480        0.0883      -98.9795      -98.9795
    79        0.0005        0.3560        0.2484        0.0884      -98.9795      -98.9795
    80        0.0006        0.3560        0.2492        0.0887      -98.9795      -98.9795
    81        0.0002        0.3560        0.2492        0.0887      -98.9795      -98.9795
    82        0.0001        0.3560        0.2492        0.0887      -98.9795      -98.9795
    83        0.0002        0.3560        0.2492        0.0887      -98.9795      -98.9795
    84        0.0001        0.3560        0.2492        0.0887      -98.9795      -98.9795
    85        0.0020        0.3560        0.2582        0.0919      -98.9795      -98.9795
    86        0.0001        0.3560        0.2582        0.0919      -98.9795      -98.9795
    87        0.0001        0.3560        0.2582        0.0919      -98.9795      -98.9795
    88        0.0001        0.3560        0.2582        0.0919      -98.9795      -98.9795
    89        0.0001        0.3560        0.2582        0.0919      -98.9795      -98.9795
    90        0.0005        0.3560        0.2586        0.0920      -98.9795      -98.9795
    91        0.0005        0.3560        0.2589        0.0922      -98.9795      -98.9795
    92        0.0001        0.3560        0.2589        0.0922      -98.9795      -98.9795
    93        0.0019        0.3560        0.2666        0.0949      -98.9795      -98.9795
    94        0.0007        0.3560        0.2676        0.0953      -98.9795      -98.9795
