 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0400
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.6540
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0006        0.0688        0.0000        0.0000             -             -
     2        0.0061        0.3407        0.1259        0.0429             -             -
     3        0.0077        0.6119        0.1375        0.0841      -98.9795      -98.9795
     4        0.0011        0.6540        0.1401        0.0916       -8.5215       -6.9162
     5        0.0061        0.6540        0.1678        0.1097      -98.9795      -15.8891
     6        0.0007        0.6540        0.1679        0.1098      -18.9991      -20.8983
     7        0.0002        0.6540        0.1679        0.1098      -98.9795      -98.9795
     8        0.0001        0.6540        0.1679        0.1098      -98.9795      -98.9795
     9        0.0007        0.6540        0.1680        0.1099      -19.0581      -20.9899
    10        0.0048        0.6540        0.1842        0.1205      -11.0390       -6.7070
    11        0.0012        0.6540        0.1851        0.1210      -12.8348      -12.3158
    12        0.0097        0.6540        0.2225        0.1455      -26.0678       -9.5818
    13        0.0001        0.6540        0.2225        0.1455      -98.9795      -98.9795
    14        0.0003        0.6540        0.2225        0.1455      -98.9795      -98.9795
    15        0.0020        0.6540        0.2244        0.1468      -12.7441      -12.2017
    16        0.0102        0.6540        0.2556        0.1671      -10.8483       -6.6538
    17        0.0030        0.6540        0.2588        0.1693      -12.3017      -11.6483
    18        0.0020        0.6540        0.2603        0.1702      -23.5093      -28.5445
    19        0.0095        0.6540        0.2829        0.1850       -8.4535       -6.1448
    20        0.0051        0.6540        0.2900        0.1897      -10.0494       -8.8955
    21        0.0023        0.6540        0.2916        0.1907      -38.1703      -68.1262
    22        0.0095        0.6540        0.3104        0.2030       -8.3121       -6.5200
    23        0.0017        0.6540        0.3108        0.2033      -98.9795      -98.9795
    24        0.0008        0.6540        0.3108        0.2033      -98.9795      -98.9795
    25        0.0041        0.6540        0.3150        0.2060      -15.6641      -16.0347
    26        0.0014        0.6540        0.3151        0.2061      -98.9795      -98.9795
    27        0.0098        0.6540        0.3323        0.2173       -8.5746       -6.9982
    28        0.0125        0.6540        0.3551        0.2322       -8.3920       -6.6950
    29        0.0085        0.6540        0.3660        0.2393      -10.7147       -9.7031
    30        0.0005        0.6540        0.3660        0.2393      -98.9795      -98.9795
    31        0.0017        0.6540        0.3661        0.2394      -98.9795      -98.9795
    32        0.0006        0.6540        0.3661        0.2394      -98.9795      -98.9795
    33        0.0008        0.6540        0.3661        0.2394      -98.9795      -98.9795
    34        0.0003        0.6540        0.3661        0.2394      -98.9795      -98.9795
    35        0.0011        0.6540        0.3661        0.2394      -98.9795      -98.9795
    36        0.0085        0.6540        0.3763        0.2461      -11.4196      -10.5610
    37        0.0061        0.6540        0.3822        0.2500      -18.6373      -20.3416
    38        0.0044        0.6540        0.3856        0.2522      -58.3579      -98.9795
    39        0.0020        0.6540        0.3858        0.2523      -98.9795      -98.9795
    40        0.0027        0.6540        0.3868        0.2530      -98.9795      -98.9795
    41        0.0006        0.6540        0.3868        0.2530      -98.9795      -98.9795
    42        0.0087        0.6540        0.3966        0.2594      -12.8093      -12.2837
    43        0.0064        0.6540        0.4025        0.2632      -22.2219      -26.2179
    44        0.0092        0.6540        0.4125        0.2698      -13.5073      -13.1715
    45        0.0027        0.6540        0.4132        0.2703      -98.9795      -98.9795
    46        0.0011        0.6540        0.4132        0.2703      -98.9795      -98.9795
    47        0.0153        0.6540        0.4344        0.2841       -9.5561       -8.2911
    48        0.0011        0.6540        0.4344        0.2841      -98.9795      -98.9795
    49        0.0011        0.6540        0.4344        0.2841      -98.9795      -98.9795
    50        0.0044        0.6540        0.4369        0.2857      -98.9795      -98.9795
    51        0.0078        0.6540        0.4438        0.2903      -25.5536      -32.5113
    52        0.0001        0.6540        0.4438        0.2903      -98.9795      -98.9795
    53        0.0017        0.6540        0.4438        0.2903      -98.9795      -98.9795
    54        0.0011        0.6540        0.4438        0.2903      -98.9795      -98.9795
    55        0.0014        0.6540        0.4438        0.2903      -98.9795      -98.9795
    56        0.0051        0.6540        0.4470        0.2924      -98.9795      -98.9795
    57        0.0020        0.6540        0.4470        0.2924      -98.9795      -98.9795
    58        0.0034        0.6540        0.4482        0.2931      -98.9795      -98.9795
    59        0.0064        0.6540        0.4531        0.2963      -84.2145      -98.9795
    60        0.0006        0.6540        0.4531        0.2963      -98.9795      -98.9795
