 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0930
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7460
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
    83        0.0056        0.7460        0.5714        0.4263      -98.9795      -98.9795
    84        0.0068        0.7460        0.5766        0.4302      -98.9795      -98.9795
    85        0.0088        0.7460        0.5845        0.4360      -98.9795      -98.9795
    86        0.0006        0.7460        0.5845        0.4360      -98.9795      -98.9795
    87        0.0029        0.7460        0.5853        0.4367      -98.9795      -98.9795
    88        0.0042        0.7460        0.5874        0.4382      -98.9795      -98.9795
    89        0.0045        0.7460        0.5897        0.4399      -98.9795      -98.9795
    90        0.0018        0.7460        0.5898        0.4400      -98.9795      -98.9795
    91        0.0007        0.7460        0.5898        0.4400      -98.9795      -98.9795
    92        0.0013        0.7460        0.5898        0.4400      -98.9795      -98.9795
    93        0.0007        0.7460        0.5898        0.4400      -98.9795      -98.9795
    94        0.0161        0.7460        0.6088        0.4542      -98.9795      -98.9795
    95        0.0004        0.7460        0.6088        0.4542      -98.9795      -98.9795
    96        0.0001        0.7460        0.6088        0.4542      -98.9795      -98.9795
    97        0.0011        0.7460        0.6088        0.4542      -98.9795      -98.9795
    98        0.0006        0.7460        0.6088        0.4542      -98.9795      -98.9795
    99        0.0005        0.7460        0.6088        0.4542      -98.9795      -98.9795
   100        0.0036        0.7460        0.6101        0.4551      -98.9795      -98.9795
   101        0.0038        0.7460        0.6116        0.4562      -98.9795      -98.9795
   102        0.0008        0.7460        0.6116        0.4562      -98.9795      -98.9795
   103        0.0151        0.7460        0.6278        0.4683      -98.9795      -98.9795
   104        0.0056        0.7460        0.6308        0.4706      -98.9795      -98.9795
   105        0.0033        0.7460        0.6317        0.4713      -98.9795      -98.9795
   106        0.0019        0.7460        0.6318        0.4713      -98.9795      -98.9795
   107        0.0019        0.7460        0.6319        0.4714      -98.9795      -98.9795
   108        0.0001        0.7460        0.6319        0.4714      -98.9795      -98.9795
   109        0.0012        0.7460        0.6319        0.4714      -98.9795      -98.9795
   110        0.0045        0.7460        0.6338        0.4728      -98.9795      -98.9795
   111        0.0008        0.7460        0.6338        0.4728      -98.9795      -98.9795
   112        0.0189        0.7460        0.6550        0.4886      -98.9795      -98.9795
   113        0.0065        0.7460        0.6586        0.4913      -98.9795      -98.9795
   114        0.0220        0.7460        0.6834        0.5098      -98.9795      -98.9795
   115        0.0013        0.7460        0.6834        0.5098      -98.9795      -98.9795
   116        0.0082        0.7460        0.6883        0.5135      -98.9795      -98.9795
   117        0.0021        0.7460        0.6884        0.5135      -98.9795      -98.9795
   118        0.0092        0.7460        0.6943        0.5180      -98.9795      -98.9795
   119        0.0002        0.7460        0.6943        0.5180      -98.9795      -98.9795
   120        0.0001        0.7460        0.6943        0.5180      -98.9795      -98.9795
   121        0.0018        0.7460        0.6943        0.5180      -98.9795      -98.9795
   122        0.0054        0.7460        0.6965        0.5196      -98.9795      -98.9795
   123        0.0002        0.7460        0.6965        0.5196      -98.9795      -98.9795
   124        0.0005        0.7460        0.6965        0.5196      -98.9795      -98.9795
   125        0.0068        0.7460        0.6999        0.5221      -98.9795      -98.9795
   126        0.0033        0.7460        0.7005        0.5226      -98.9795      -98.9795
   127        0.0045        0.7460        0.7019        0.5237      -98.9795      -98.9795
   128        0.0019        0.7460        0.7019        0.5237      -98.9795      -98.9795
   129        0.0023        0.7460        0.7021        0.5237      -98.9795      -98.9795
   130        0.0035        0.7460        0.7028        0.5243      -98.9795      -98.9795
   131        0.0032        0.7460        0.7034        0.5247      -98.9795      -98.9795
   132        0.0045        0.7460        0.7048        0.5258      -98.9795      -98.9795
   133        0.0056        0.7460        0.7071        0.5275      -98.9795      -98.9795
   134        0.0021        0.7460        0.7071        0.5275      -98.9795      -98.9795
   135        0.0075        0.7460        0.7110        0.5304      -98.9795      -98.9795
   136        0.0015        0.7460        0.7110        0.5304      -98.9795      -98.9795
   137        0.0005        0.7460        0.7110        0.5304      -98.9795      -98.9795
   138        0.0045        0.7460        0.7124        0.5314      -98.9795      -98.9795
   139        0.0029        0.7460        0.7127        0.5317      -98.9795      -98.9795
   140        0.0068        0.7460        0.7159        0.5341      -98.9795      -98.9795
   141        0.0008        0.7460        0.7159        0.5341      -98.9795      -98.9795
   142        0.0019        0.7460        0.7159        0.5341      -98.9795      -98.9795
   143        0.0024        0.7460        0.7161        0.5342      -98.9795      -98.9795
   144        0.0001        0.7460        0.7161        0.5342      -98.9795      -98.9795
   145        0.0015        0.7460        0.7161        0.5342      -98.9795      -98.9795
   146        0.0121        0.7460        0.7247        0.5406      -98.9795      -98.9795
   147        0.0219        0.7460        0.7456        0.5562      -98.9795      -98.9795
   148        0.0010        0.7460        0.7456        0.5562      -98.9795      -98.9795
   149        0.0009        0.7460        0.7456        0.5562      -98.9795      -98.9795
   150        0.0006        0.7460        0.7456        0.5562      -98.9795      -98.9795
   151        0.0009        0.7460        0.7456        0.5562      -98.9795      -98.9795
   152        0.0004        0.7460        0.7456        0.5562      -98.9795      -98.9795
   153        0.0003        0.7460        0.7456        0.5562      -98.9795      -98.9795
   154        0.0016        0.7460        0.7456        0.5562      -98.9795      -98.9795
   155        0.0001        0.7460        0.7456        0.5562      -98.9795      -98.9795
   156        0.0001        0.7460        0.7456        0.5562      -98.9795      -98.9795
   157        0.0054        0.7460        0.7474        0.5576      -98.9795      -98.9795
   158        0.0116        0.7460        0.7548        0.5631      -98.9795      -98.9795
   159        0.0019        0.7460        0.7548        0.5631      -98.9795      -98.9795
