 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.1190
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.5210
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           962
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0011        0.3683        0.0000        0.0000             -             -
     2        0.0111        0.5210        0.1283        0.0668      -98.9795      -98.9795
     3        0.0140        0.5210        0.3023        0.1575      -98.9795      -98.9795
     4        0.0020        0.5210        0.3063        0.1596      -98.9795      -98.9795
     5        0.0111        0.5210        0.3532        0.1840       -9.9263       -8.7455
     6        0.0012        0.5210        0.3542        0.1845      -98.9795      -98.9795
     7        0.0003        0.5210        0.3542        0.1845      -98.9795      -98.9795
     8        0.0001        0.5210        0.3542        0.1845      -98.9795      -98.9795
     9        0.0012        0.5210        0.3551        0.1850      -98.9795      -98.9795
    10        0.0087        0.5210        0.3826        0.1994      -19.8565      -22.2485
    11        0.0021        0.5210        0.3852        0.2007      -98.9795      -98.9795
    12        0.0176        0.5210        0.4469        0.2328      -10.9996      -10.0491
    13        0.0003        0.5210        0.4469        0.2328      -98.9795      -98.9795
    14        0.0006        0.5210        0.4469        0.2328      -98.9795      -98.9795
    15        0.0035        0.5210        0.4516        0.2353      -98.9795      -98.9795
    16        0.0185        0.5210        0.5049        0.2631      -16.4483      -17.1271
    17        0.0054        0.5210        0.5125        0.2670      -98.9795      -98.9795
    18        0.0036        0.5210        0.5161        0.2689      -98.9795      -98.9795
    19        0.0172        0.5210        0.5572        0.2903      -52.6810      -98.9795
    20        0.0092        0.5210        0.5719        0.2979      -98.9795      -98.9795
    21        0.0042        0.5210        0.5756        0.2999      -98.9795      -98.9795
    22        0.0172        0.5210        0.6104        0.3180      -98.9795      -98.9795
    23        0.0031        0.5210        0.6121        0.3189      -98.9795      -98.9795
    24        0.0015        0.5210        0.6122        0.3189      -98.9795      -98.9795
    25        0.0075        0.5210        0.6210        0.3235      -98.9795      -98.9795
    26        0.0025        0.5210        0.6219        0.3240      -98.9795      -98.9795
    27        0.0179        0.5210        0.6543        0.3409      -98.9795      -98.9795
    28        0.0226        0.5210        0.6960        0.3626      -98.9795      -98.9795
    29        0.0154        0.5210        0.7173        0.3737      -98.9795      -98.9795
    30        0.0008        0.5210        0.7173        0.3737      -98.9795      -98.9795
    31        0.0031        0.5210        0.7183        0.3742      -98.9795      -98.9795
    32        0.0011        0.5210        0.7183        0.3742      -98.9795      -98.9795
    33        0.0015        0.5210        0.7183        0.3742      -98.9795      -98.9795
    34        0.0006        0.5210        0.7183        0.3742      -98.9795      -98.9795
    35        0.0020        0.5210        0.7184        0.3743      -98.9795      -98.9795
    36        0.0154        0.5210        0.7385        0.3848      -98.9795      -98.9795
    37        0.0111        0.5210        0.7500        0.3907      -98.9795      -98.9795
    38        0.0079        0.5210        0.7562        0.3940      -98.9795      -98.9795
    39        0.0035        0.5210        0.7574        0.3946      -98.9795      -98.9795
    40        0.0048        0.5210        0.7597        0.3958      -98.9795      -98.9795
    41        0.0011        0.5210        0.7597        0.3958      -98.9795      -98.9795
    42        0.0157        0.5210        0.7784        0.4055      -98.9795      -98.9795
    43        0.0117        0.5210        0.7896        0.4114      -98.9795      -98.9795
    44        0.0166        0.5210        0.8085        0.4212      -98.9795      -98.9795
    45        0.0048        0.5210        0.8105        0.4223      -98.9795      -98.9795
    46        0.0020        0.5210        0.8105        0.4223      -98.9795      -98.9795
    47        0.0277        0.5210        0.8493        0.4425      -98.9795      -98.9795
    48        0.0020        0.5210        0.8493        0.4425      -98.9795      -98.9795
