 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0450
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.1980
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           914
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
    83        0.0003        0.1980        0.5049        0.1000      -98.9795      -98.9795
    84        0.0014        0.1980        0.5049        0.1000      -98.9795      -98.9795
    85        0.0021        0.1980        0.5049        0.1000      -98.9795      -98.9795
    86        0.0023        0.1980        0.5051        0.1000      -98.9795      -98.9795
    87        0.0009        0.1980        0.5051        0.1000      -98.9795      -98.9795
    88        0.0004        0.1980        0.5051        0.1000      -98.9795      -98.9795
    89        0.0007        0.1980        0.5051        0.1000      -98.9795      -98.9795
    90        0.0003        0.1980        0.5051        0.1000      -98.9795      -98.9795
    91        0.0081        0.1980        0.5262        0.1042      -98.9795      -98.9795
    92        0.0002        0.1980        0.5262        0.1042      -98.9795      -98.9795
    93        0.0006        0.1980        0.5262        0.1042      -98.9795      -98.9795
    94        0.0003        0.1980        0.5262        0.1042      -98.9795      -98.9795
    95        0.0003        0.1980        0.5262        0.1042      -98.9795      -98.9795
    96        0.0018        0.1980        0.5262        0.1042      -98.9795      -98.9795
    97        0.0019        0.1980        0.5262        0.1042      -98.9795      -98.9795
    98        0.0004        0.1980        0.5262        0.1042      -98.9795      -98.9795
    99        0.0076        0.1980        0.5434        0.1076      -98.9795      -98.9795
   100        0.0028        0.1980        0.5442        0.1077      -98.9795      -98.9795
   101        0.0017        0.1980        0.5442        0.1077      -98.9795      -98.9795
   102        0.0009        0.1980        0.5442        0.1077      -98.9795      -98.9795
   103        0.0009        0.1980        0.5442        0.1077      -98.9795      -98.9795
   104        0.0006        0.1980        0.5442        0.1077      -98.9795      -98.9795
   105        0.0023        0.1980        0.5442        0.1077      -98.9795      -98.9795
   106        0.0004        0.1980        0.5442        0.1077      -98.9795      -98.9795
   107        0.0095        0.1980        0.5681        0.1125      -98.9795      -98.9795
   108        0.0033        0.1980        0.5695        0.1128      -98.9795      -98.9795
   109        0.0110        0.1980        0.5975        0.1183      -98.9795      -98.9795
   110        0.0006        0.1980        0.5975        0.1183      -98.9795      -98.9795
   111        0.0041        0.1980        0.6002        0.1188      -98.9795      -98.9795
   112        0.0010        0.1980        0.6002        0.1188      -98.9795      -98.9795
   113        0.0046        0.1980        0.6041        0.1196      -98.9795      -98.9795
   114        0.0001        0.1980        0.6041        0.1196      -98.9795      -98.9795
   115        0.0009        0.1980        0.6041        0.1196      -98.9795      -98.9795
   116        0.0027        0.1980        0.6041        0.1196      -98.9795      -98.9795
   117        0.0001        0.1980        0.6041        0.1196      -98.9795      -98.9795
   118        0.0003        0.1980        0.6041        0.1196      -98.9795      -98.9795
   119        0.0034        0.1980        0.6052        0.1198      -98.9795      -98.9795
   120        0.0017        0.1980        0.6052        0.1198      -98.9795      -98.9795
   121        0.0023        0.1980        0.6052        0.1198      -98.9795      -98.9795
   122        0.0009        0.1980        0.6052        0.1198      -98.9795      -98.9795
   123        0.0011        0.1980        0.6052        0.1198      -98.9795      -98.9795
   124        0.0017        0.1980        0.6052        0.1198      -98.9795      -98.9795
   125        0.0016        0.1980        0.6052        0.1198      -98.9795      -98.9795
   126        0.0023        0.1980        0.6052        0.1198      -98.9795      -98.9795
   127        0.0028        0.1980        0.6052        0.1198      -98.9795      -98.9795
   128        0.0010        0.1980        0.6052        0.1198      -98.9795      -98.9795
   129        0.0038        0.1980        0.6070        0.1202      -98.9795      -98.9795
   130        0.0008        0.1980        0.6070        0.1202      -98.9795      -98.9795
   131        0.0003        0.1980        0.6070        0.1202      -98.9795      -98.9795
   132        0.0023        0.1980        0.6070        0.1202      -98.9795      -98.9795
   133        0.0014        0.1980        0.6070        0.1202      -98.9795      -98.9795
   134        0.0034        0.1980        0.6080        0.1204      -98.9795      -98.9795
   135        0.0004        0.1980        0.6080        0.1204      -98.9795      -98.9795
   136        0.0009        0.1980        0.6080        0.1204      -98.9795      -98.9795
   137        0.0012        0.1980        0.6080        0.1204      -98.9795      -98.9795
   138        0.0008        0.1980        0.6080        0.1204      -98.9795      -98.9795
   139        0.0060        0.1980        0.6155        0.1219      -98.9795      -98.9795
   140        0.0109        0.1980        0.6391        0.1265      -98.9795      -98.9795
   141        0.0005        0.1980        0.6391        0.1265      -98.9795      -98.9795
   142        0.0005        0.1980        0.6391        0.1265      -98.9795      -98.9795
   143        0.0003        0.1980        0.6391        0.1265      -98.9795      -98.9795
   144        0.0005        0.1980        0.6391        0.1265      -98.9795      -98.9795
   145        0.0002        0.1980        0.6391        0.1265      -98.9795      -98.9795
   146        0.0001        0.1980        0.6391        0.1265      -98.9795      -98.9795
   147        0.0008        0.1980        0.6391        0.1265      -98.9795      -98.9795
   148        0.0001        0.1980        0.6391        0.1265      -98.9795      -98.9795
   149        0.0001        0.1980        0.6391        0.1265      -98.9795      -98.9795
   150        0.0027        0.1980        0.6391        0.1265      -98.9795      -98.9795
   151        0.0058        0.1980        0.6450        0.1277      -98.9795      -98.9795
   152        0.0009        0.1980        0.6450        0.1277      -98.9795      -98.9795
   153        0.0114        0.1980        0.6682        0.1323      -98.9795      -98.9795
   154        0.0102        0.1980        0.6858        0.1358      -98.9795      -98.9795
   155        0.0068        0.1980        0.6927        0.1372      -98.9795      -98.9795
   156        0.0007        0.1980        0.6927        0.1372      -98.9795      -98.9795
   157        0.0020        0.1980        0.6927        0.1372      -98.9795      -98.9795
   158        0.0006        0.1980        0.6927        0.1372      -98.9795      -98.9795
   159        0.0074        0.1980        0.7010        0.1388      -98.9795      -98.9795
   160        0.0021        0.1980        0.7010        0.1388      -98.9795      -98.9795
   161        0.0034        0.1980        0.7010        0.1388      -98.9795      -98.9795
   162        0.0021        0.1980        0.7010        0.1388      -98.9795      -98.9795
   163        0.0002        0.1980        0.7010        0.1388      -98.9795      -98.9795
   164        0.0043        0.1980        0.7023        0.1391      -98.9795      -98.9795
   165        0.0041        0.1980        0.7033        0.1392      -98.9795      -98.9795
   166        0.0046        0.1980        0.7051        0.1396      -98.9795      -98.9795
   167        0.0014        0.1980        0.7051        0.1396      -98.9795      -98.9795
   168        0.0082        0.1980        0.7150        0.1416      -98.9795      -98.9795
   169        0.0003        0.1980        0.7150        0.1416      -98.9795      -98.9795
   170        0.0002        0.1980        0.7150        0.1416      -98.9795      -98.9795
   171        0.0014        0.1980        0.7150        0.1416      -98.9795      -98.9795
   172        0.0006        0.1980        0.7150        0.1416      -98.9795      -98.9795
   173        0.0003        0.1980        0.7150        0.1416      -98.9795      -98.9795
   174        0.0001        0.1980        0.7150        0.1416      -98.9795      -98.9795
   175        0.0006        0.1980        0.7150        0.1416      -98.9795      -98.9795
   176        0.0008        0.1980        0.7150        0.1416      -98.9795      -98.9795
   177        0.0010        0.1980        0.7150        0.1416      -98.9795      -98.9795
   178        0.0005        0.1980        0.7150        0.1416      -98.9795      -98.9795
   179        0.0007        0.1980        0.7150        0.1416      -98.9795      -98.9795
   180        0.0007        0.1980        0.7150        0.1416      -98.9795      -98.9795
   181        0.0041        0.1980        0.7158        0.1417      -98.9795      -98.9795
   182        0.0011        0.1980        0.7158        0.1417      -98.9795      -98.9795
   183        0.0003        0.1980        0.7158        0.1417      -98.9795      -98.9795
   184        0.0002        0.1980        0.7158        0.1417      -98.9795      -98.9795
   185        0.0003        0.1980        0.7158        0.1417      -98.9795      -98.9795
   186        0.0102        0.1980        0.7307        0.1447      -98.9795      -98.9795
   187        0.0004        0.1980        0.7307        0.1447      -98.9795      -98.9795
   188        0.0001        0.1980        0.7307        0.1447      -98.9795      -98.9795
   189        0.0012        0.1980        0.7307        0.1447      -98.9795      -98.9795
   190        0.0005        0.1980        0.7307        0.1447      -98.9795      -98.9795
   191        0.0126        0.1980        0.7520        0.1489      -98.9795      -98.9795
   192        0.0025        0.1980        0.7520        0.1489      -98.9795      -98.9795
   193        0.0031        0.1980        0.7520        0.1489      -98.9795      -98.9795
   194        0.0012        0.1980        0.7520        0.1489      -98.9795      -98.9795
   195        0.0009        0.1980        0.7520        0.1489      -98.9795      -98.9795
   196        0.0009        0.1980        0.7520        0.1489      -98.9795      -98.9795
   197        0.0003        0.1980        0.7520        0.1489      -98.9795      -98.9795
   198        0.0015        0.1980        0.7520        0.1489      -98.9795      -98.9795
   199        0.0079        0.1980        0.7595        0.1504      -98.9795      -98.9795
   200        0.0046        0.1980        0.7605        0.1506      -98.9795      -98.9795
   201        0.0004        0.1980        0.7605        0.1506      -98.9795      -98.9795
   202        0.0006        0.1980        0.7605        0.1506      -98.9795      -98.9795
   203        0.0012        0.1980        0.7605        0.1506      -98.9795      -98.9795
   204        0.0009        0.1980        0.7605        0.1506      -98.9795      -98.9795
   205        0.0060        0.1980        0.7639        0.1513      -98.9795      -98.9795
   206        0.0039        0.1980        0.7639        0.1513      -98.9795      -98.9795
   207        0.0008        0.1980        0.7639        0.1513      -98.9795      -98.9795
   208        0.0001        0.1980        0.7639        0.1513      -98.9795      -98.9795
   209        0.0042        0.1980        0.7643        0.1513      -98.9795      -98.9795
   210        0.0013        0.1980        0.7643        0.1513      -98.9795      -98.9795
   211        0.0004        0.1980        0.7643        0.1513      -98.9795      -98.9795
   212        0.0001        0.1980        0.7643        0.1513      -98.9795      -98.9795
   213        0.0001        0.1980        0.7643        0.1513      -98.9795      -98.9795
   214        0.0015        0.1980        0.7643        0.1513      -98.9795      -98.9795
   215        0.0013        0.1980        0.7643        0.1513      -98.9795      -98.9795
   216        0.0011        0.1980        0.7643        0.1513      -98.9795      -98.9795
   217        0.0016        0.1980        0.7643        0.1513      -98.9795      -98.9795
   218        0.0010        0.1980        0.7643        0.1513      -98.9795      -98.9795
   219        0.0001        0.1980        0.7643        0.1513      -98.9795      -98.9795
   220        0.0077        0.1980        0.7711        0.1527      -98.9795      -98.9795
   221        0.0009        0.1980        0.7711        0.1527      -98.9795      -98.9795
   222        0.0003        0.1980        0.7711        0.1527      -98.9795      -98.9795
