 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0500
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.8970
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           970
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0016        0.1760        0.0000        0.0000             -             -
     2        0.0152        0.6886        0.1744        0.1201             -             -
     3        0.0192        0.8970        0.2552        0.2289      -98.9795      -98.9795
     4        0.0028        0.8970        0.2580        0.2314      -14.9915      -15.1207
     5        0.0152        0.8970        0.2945        0.2641      -10.1011       -6.4466
     6        0.0017        0.8970        0.2952        0.2648      -98.9795      -98.9795
     7        0.0004        0.8970        0.2952        0.2648      -98.9795      -98.9795
     8        0.0002        0.8970        0.2952        0.2648      -98.9795      -98.9795
     9        0.0017        0.8970        0.2959        0.2655      -98.9795      -98.9795
    10        0.0120        0.8970        0.3173        0.2846       -8.2741       -6.3643
    11        0.0029        0.8970        0.3194        0.2865      -72.7352      -98.9795
    12        0.0241        0.8970        0.3696        0.3316       -9.3966       -6.2634
    13        0.0004        0.8970        0.3696        0.3316      -98.9795      -98.9795
    14        0.0008        0.8970        0.3696        0.3316      -98.9795      -98.9795
    15        0.0049        0.8970        0.3735        0.3350      -38.4362      -69.1804
    16        0.0253        0.8970        0.4162        0.3733       -8.3240       -6.2054
    17        0.0074        0.8970        0.4222        0.3787      -28.0115      -37.7852
    18        0.0050        0.8970        0.4253        0.3815      -98.9795      -98.9795
    19        0.0237        0.8970        0.4570        0.4100       -8.6411       -7.0968
    20        0.0126        0.8970        0.4683        0.4201      -16.0378      -16.5516
    21        0.0058        0.8970        0.4716        0.4230      -98.9795      -98.9795
    22        0.0237        0.8970        0.4983        0.4470       -9.6927       -8.4594
    23        0.0042        0.8970        0.4997        0.4482      -98.9795      -98.9795
    24        0.0021        0.8970        0.4998        0.4483      -98.9795      -98.9795
    25        0.0103        0.8970        0.5073        0.4550      -50.8640      -98.9795
    26        0.0035        0.8970        0.5081        0.4558      -98.9795      -98.9795
    27        0.0245        0.8970        0.5327        0.4779      -10.7849       -9.7883
    28        0.0310        0.8970        0.5649        0.5067      -10.0177       -8.8569
    29        0.0211        0.8970        0.5822        0.5222      -17.2656      -18.2976
    30        0.0011        0.8970        0.5822        0.5222      -98.9795      -98.9795
    31        0.0043        0.8970        0.5831        0.5230      -98.9795      -98.9795
    32        0.0015        0.8970        0.5831        0.5230      -98.9795      -98.9795
    33        0.0021        0.8970        0.5831        0.5230      -98.9795      -98.9795
    34        0.0008        0.8970        0.5831        0.5230      -98.9795      -98.9795
    35        0.0028        0.8970        0.5832        0.5231      -98.9795      -98.9795
    36        0.0211        0.8970        0.5998        0.5380      -19.9867      -22.4574
    37        0.0152        0.8970        0.6099        0.5471      -98.9795      -98.9795
    38        0.0108        0.8970        0.6156        0.5522      -98.9795      -98.9795
    39        0.0049        0.8970        0.6166        0.5531      -98.9795      -98.9795
    40        0.0066        0.8970        0.6188        0.5551      -98.9795      -98.9795
    41        0.0015        0.8970        0.6188        0.5551      -98.9795      -98.9795
    42        0.0215        0.8970        0.6345        0.5692      -27.3499      -36.3066
    43        0.0160        0.8970        0.6445        0.5781      -98.9795      -98.9795
    44        0.0228        0.8970        0.6606        0.5926      -31.6391      -46.7908
    45        0.0066        0.8970        0.6624        0.5942      -98.9795      -98.9795
    46        0.0028        0.8970        0.6624        0.5942      -98.9795      -98.9795
    47        0.0380        0.8970        0.6930        0.6216      -13.8489      -13.6122
    48        0.0028        0.8970        0.6930        0.6216      -98.9795      -98.9795
    49        0.0028        0.8970        0.6930        0.6216      -98.9795      -98.9795
    50        0.0108        0.8970        0.6973        0.6255      -98.9795      -98.9795
    51        0.0195        0.8970        0.7087        0.6357      -98.9795      -98.9795
    52        0.0001        0.8970        0.7087        0.6357      -98.9795      -98.9795
    53        0.0042        0.8970        0.7090        0.6360      -98.9795      -98.9795
    54        0.0028        0.8970        0.7090        0.6360      -98.9795      -98.9795
    55        0.0034        0.8970        0.7091        0.6360      -98.9795      -98.9795
    56        0.0126        0.8970        0.7145        0.6409      -98.9795      -98.9795
    57        0.0050        0.8970        0.7151        0.6415      -98.9795      -98.9795
    58        0.0084        0.8970        0.7176        0.6437      -98.9795      -98.9795
    59        0.0160        0.8970        0.7254        0.6507      -98.9795      -98.9795
    60        0.0015        0.8970        0.7254        0.6507      -98.9795      -98.9795
    61        0.0023        0.8970        0.7254        0.6507      -98.9795      -98.9795
    62        0.0060        0.8970        0.7265        0.6517      -98.9795      -98.9795
    63        0.0004        0.8970        0.7265        0.6517      -98.9795      -98.9795
    64        0.0019        0.8970        0.7265        0.6517      -98.9795      -98.9795
    65        0.0028        0.8970        0.7265        0.6517      -98.9795      -98.9795
    66        0.0034        0.8970        0.7265        0.6517      -98.9795      -98.9795
    67        0.0083        0.8970        0.7288        0.6537      -98.9795      -98.9795
    68        0.0040        0.8970        0.7290        0.6539      -98.9795      -98.9795
    69        0.0111        0.8970        0.7331        0.6575      -98.9795      -98.9795
    70        0.0010        0.8970        0.7331        0.6575      -98.9795      -98.9795
    71        0.0001        0.8970        0.7331        0.6575      -98.9795      -98.9795
    72        0.0002        0.8970        0.7331        0.6575      -98.9795      -98.9795
    73        0.0192        0.8970        0.7432        0.6667      -98.9795      -98.9795
    74        0.0041        0.8970        0.7434        0.6668      -98.9795      -98.9795
    75        0.0015        0.8970        0.7434        0.6668      -98.9795      -98.9795
    76        0.0017        0.8970        0.7434        0.6668      -98.9795      -98.9795
    77        0.0024        0.8970        0.7434        0.6668      -98.9795      -98.9795
    78        0.0152        0.8970        0.7502        0.6729      -98.9795      -98.9795
    79        0.0035        0.8970        0.7502        0.6729      -98.9795      -98.9795
    80        0.0029        0.8970        0.7502        0.6729      -98.9795      -98.9795
