 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0550
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.3060
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           962
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0011        0.1605        0.0000        0.0000             -             -
     2        0.0107        0.3060        0.1494        0.0457             -             -
     3        0.0136        0.3060        0.3123        0.0956      -98.9795      -98.9795
     4        0.0019        0.3060        0.3151        0.0964      -98.9795      -98.9795
     5        0.0107        0.3060        0.3654        0.1118       -8.7567       -7.2608
     6        0.0012        0.3060        0.3654        0.1118      -98.9795      -98.9795
     7        0.0003        0.3060        0.3654        0.1118      -98.9795      -98.9795
     8        0.0001        0.3060        0.3654        0.1118      -98.9795      -98.9795
     9        0.0012        0.3060        0.3654        0.1118      -98.9795      -98.9795
    10        0.0085        0.3060        0.3929        0.1202      -13.2250      -12.8103
    11        0.0021        0.3060        0.3946        0.1207      -98.9795      -98.9795
    12        0.0171        0.3060        0.4632        0.1418       -9.2121       -7.8604
    13        0.0003        0.3060        0.4632        0.1418      -98.9795      -98.9795
    14        0.0006        0.3060        0.4632        0.1418      -98.9795      -98.9795
    15        0.0034        0.3060        0.4668        0.1428      -98.9795      -98.9795
    16        0.0179        0.3060        0.5216        0.1596      -12.0658      -11.3556
    17        0.0053        0.3060        0.5284        0.1617      -98.9795      -98.9795
    18        0.0035        0.3060        0.5309        0.1624      -98.9795      -98.9795
    19        0.0168        0.3060        0.5737        0.1756      -20.9673      -24.0659
    20        0.0089        0.3060        0.5880        0.1799      -98.9795      -98.9795
    21        0.0041        0.3060        0.5907        0.1807      -98.9795      -98.9795
    22        0.0168        0.3060        0.6278        0.1921      -51.9930      -98.9795
    23        0.0030        0.3060        0.6283        0.1923      -98.9795      -98.9795
    24        0.0015        0.3060        0.6283        0.1923      -98.9795      -98.9795
    25        0.0073        0.3060        0.6364        0.1948      -98.9795      -98.9795
    26        0.0025        0.3060        0.6364        0.1948      -98.9795      -98.9795
    27        0.0173        0.3060        0.6709        0.2053      -98.9795      -98.9795
    28        0.0219        0.3060        0.7158        0.2190      -88.0448      -98.9795
    29        0.0150        0.3060        0.7379        0.2258      -98.9795      -98.9795
    30        0.0008        0.3060        0.7379        0.2258      -98.9795      -98.9795
    31        0.0031        0.3060        0.7379        0.2258      -98.9795      -98.9795
    32        0.0011        0.3060        0.7379        0.2258      -98.9795      -98.9795
    33        0.0015        0.3060        0.7379        0.2258      -98.9795      -98.9795
    34        0.0006        0.3060        0.7379        0.2258      -98.9795      -98.9795
    35        0.0020        0.3060        0.7379        0.2258      -98.9795      -98.9795
    36        0.0150        0.3060        0.7588        0.2322      -98.9795      -98.9795
    37        0.0107        0.3060        0.7696        0.2355      -98.9795      -98.9795
    38        0.0077        0.3060        0.7749        0.2371      -98.9795      -98.9795
    39        0.0034        0.3060        0.7749        0.2371      -98.9795      -98.9795
    40        0.0047        0.3060        0.7762        0.2375      -98.9795      -98.9795
    41        0.0010        0.3060        0.7762        0.2375      -98.9795      -98.9795
    42        0.0153        0.3060        0.7956        0.2435      -98.9795      -98.9795
    43        0.0114        0.3060        0.8065        0.2468      -98.9795      -98.9795
    44        0.0162        0.3060        0.8263        0.2529      -98.9795      -98.9795
    45        0.0047        0.3060        0.8272        0.2531      -98.9795      -98.9795
    46        0.0019        0.3060        0.8272        0.2531      -98.9795      -98.9795
    47        0.0269        0.3060        0.8697        0.2661      -98.9795      -98.9795
    48        0.0019        0.3060        0.8697        0.2661      -98.9795      -98.9795
    49        0.0019        0.3060        0.8697        0.2661      -98.9795      -98.9795
    50        0.0077        0.3060        0.8734        0.2673      -98.9795      -98.9795
    51        0.0138        0.3060        0.8860        0.2711      -98.9795      -98.9795
    52        0.0001        0.3060        0.8860        0.2711      -98.9795      -98.9795
    53        0.0030        0.3060        0.8860        0.2711      -98.9795      -98.9795
    54        0.0020        0.3060        0.8860        0.2711      -98.9795      -98.9795
    55        0.0024        0.3060        0.8860        0.2711      -98.9795      -98.9795
    56        0.0089        0.3060        0.8909        0.2726      -98.9795      -98.9795
    57        0.0035        0.3060        0.8909        0.2726      -98.9795      -98.9795
    58        0.0059        0.3060        0.8923        0.2731      -98.9795      -98.9795
    59        0.0114        0.3060        0.9006        0.2756      -98.9795      -98.9795
    60        0.0010        0.3060        0.9006        0.2756      -98.9795      -98.9795
    61        0.0017        0.3060        0.9006        0.2756      -98.9795      -98.9795
    62        0.0042        0.3060        0.9006        0.2756      -98.9795      -98.9795
    63        0.0003        0.3060        0.9006        0.2756      -98.9795      -98.9795
    64        0.0014        0.3060        0.9006        0.2756      -98.9795      -98.9795
    65        0.0020        0.3060        0.9006        0.2756      -98.9795      -98.9795
    66        0.0024        0.3060        0.9006        0.2756      -98.9795      -98.9795
    67        0.0059        0.3060        0.9019        0.2760      -98.9795      -98.9795
    68        0.0029        0.3060        0.9019        0.2760      -98.9795      -98.9795
