 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.1800
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.1170
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           523
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0002        0.1170        0.0000        0.0000             -             -
     2        0.0002        0.1170        0.0568        0.0066      -98.9795      -98.9795
     3        0.0002        0.1170        0.0681        0.0080       -8.7703       -7.2795
     4        0.0001        0.1170        0.0704        0.0082      -42.0335      -85.3893
     5        0.0003        0.1170        0.0851        0.0100       -9.3798       -8.0718
     6        0.0001        0.1170        0.0862        0.0101      -98.9795      -98.9795
     7        0.0003        0.1170        0.0965        0.0113      -14.6207      -14.6251
     8        0.0001        0.1170        0.0971        0.0114      -98.9795      -98.9795
     9        0.0001        0.1170        0.0977        0.0114      -98.9795      -98.9795
    10        0.0003        0.1170        0.1063        0.0124      -26.6501      -34.7911
    11        0.0001        0.1170        0.1066        0.0125      -98.9795      -98.9795
    12        0.0001        0.1170        0.1069        0.0125      -98.9795      -98.9795
    13        0.0003        0.1170        0.1143        0.0134      -76.7835      -98.9795
    14        0.0001        0.1170        0.1144        0.0134      -98.9795      -98.9795
    15        0.0003        0.1170        0.1209        0.0141      -98.9795      -98.9795
    16        0.0004        0.1170        0.1305        0.0153      -98.9795      -98.9795
    17        0.0002        0.1170        0.1324        0.0155      -98.9795      -98.9795
    18        0.0001        0.1170        0.1324        0.0155      -98.9795      -98.9795
    19        0.0002        0.1170        0.1342        0.0157      -98.9795      -98.9795
    20        0.0002        0.1170        0.1359        0.0159      -98.9795      -98.9795
    21        0.0001        0.1170        0.1359        0.0159      -98.9795      -98.9795
    22        0.0001        0.1170        0.1359        0.0159      -98.9795      -98.9795
    23        0.0001        0.1170        0.1359        0.0159      -98.9795      -98.9795
    24        0.0003        0.1170        0.1402        0.0164      -98.9795      -98.9795
