 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0500
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.8440
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           970
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0015        0.1699        0.0000        0.0000             -             -
     2        0.0149        0.6782        0.1730        0.1173             -             -
     3        0.0188        0.8440        0.2658        0.2243      -98.9795      -98.9795
     4        0.0027        0.8440        0.2684        0.2265      -18.6134      -20.3052
     5        0.0149        0.8440        0.3041        0.2566       -9.3073       -6.2424
     6        0.0017        0.8440        0.3048        0.2572      -98.9795      -98.9795
     7        0.0004        0.8440        0.3048        0.2572      -98.9795      -98.9795
     8        0.0002        0.8440        0.3048        0.2572      -98.9795      -98.9795
     9        0.0017        0.8440        0.3055        0.2578      -98.9795      -98.9795
    10        0.0117        0.8440        0.3263        0.2754       -8.3365       -6.5806
    11        0.0028        0.8440        0.3282        0.2770      -98.9795      -98.9795
    12        0.0236        0.8440        0.3782        0.3192       -8.9609       -6.1710
    13        0.0004        0.8440        0.3782        0.3192      -98.9795      -98.9795
    14        0.0008        0.8440        0.3782        0.3192      -98.9795      -98.9795
    15        0.0048        0.8440        0.3820        0.3224      -56.9474      -98.9795
    16        0.0248        0.8440        0.4246        0.3584       -8.2769       -6.2963
    17        0.0073        0.8440        0.4307        0.3635      -34.5584      -55.3637
    18        0.0049        0.8440        0.4338        0.3661      -98.9795      -98.9795
    19        0.0232        0.8440        0.4654        0.3928       -8.8479       -7.3855
    20        0.0123        0.8440        0.4768        0.4024      -17.9227      -19.2639
    21        0.0057        0.8440        0.4800        0.4051      -98.9795      -98.9795
    22        0.0232        0.8440        0.5066        0.4276      -10.0914       -8.9466
    23        0.0041        0.8440        0.5080        0.4288      -98.9795      -98.9795
    24        0.0020        0.8440        0.5080        0.4288      -98.9795      -98.9795
    25        0.0101        0.8440        0.5156        0.4352      -76.9068      -98.9795
    26        0.0034        0.8440        0.5164        0.4358      -98.9795      -98.9795
    27        0.0240        0.8440        0.5410        0.4566      -11.3338      -10.4562
    28        0.0304        0.8440        0.5733        0.4839      -10.4190       -9.3445
    29        0.0208        0.8440        0.5910        0.4988      -18.8823      -20.7177
    30        0.0011        0.8440        0.5910        0.4988      -98.9795      -98.9795
    31        0.0042        0.8440        0.5919        0.4995      -98.9795      -98.9795
