 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0500
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.7850
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           970
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0016        0.1760        0.0000        0.0000             -             -
     2        0.0157        0.6958        0.1766        0.1229             -             -
     3        0.0198        0.7850        0.2989        0.2346      -98.9795      -98.9795
     4        0.0028        0.7850        0.3013        0.2365      -37.4189      -65.2401
     5        0.0157        0.7850        0.3361        0.2639       -8.4546       -6.1445
     6        0.0018        0.7850        0.3367        0.2643      -98.9795      -98.9795
     7        0.0004        0.7850        0.3367        0.2643      -98.9795      -98.9795
     8        0.0002        0.7850        0.3367        0.2643      -98.9795      -98.9795
     9        0.0018        0.7850        0.3374        0.2648      -98.9795      -98.9795
    10        0.0124        0.7850        0.3580        0.2811       -8.7193       -7.2085
    11        0.0030        0.7850        0.3599        0.2825      -98.9795      -98.9795
    12        0.0249        0.7850        0.4104        0.3222       -8.4322       -6.1497
    13        0.0004        0.7850        0.4104        0.3222      -98.9795      -98.9795
    14        0.0008        0.7850        0.4104        0.3222      -98.9795      -98.9795
    15        0.0050        0.7850        0.4142        0.3251      -98.9795      -98.9795
    16        0.0262        0.7850        0.4578        0.3594       -8.3421       -6.5932
    17        0.0077        0.7850        0.4642        0.3644      -73.3308      -98.9795
    18        0.0052        0.7850        0.4673        0.3668      -98.9795      -98.9795
    19        0.0245        0.7850        0.4998        0.3923       -9.4040       -8.1020
    20        0.0130        0.7850        0.5118        0.4017      -23.2094      -27.9913
    21        0.0060        0.7850        0.5150        0.4043      -98.9795      -98.9795
    22        0.0245        0.7850        0.5425        0.4258      -11.0848      -10.1527
    23        0.0044        0.7850        0.5439        0.4270      -98.9795      -98.9795
    24        0.0022        0.7850        0.5439        0.4270      -98.9795      -98.9795
    25        0.0106        0.7850        0.5517        0.4331      -98.9795      -98.9795
    26        0.0036        0.7850        0.5525        0.4337      -98.9795      -98.9795
    27        0.0253        0.7850        0.5782        0.4539      -12.7363      -12.1918
    28        0.0320        0.7850        0.6116        0.4801      -11.4674      -10.6195
    29        0.0219        0.7850        0.6303        0.4948      -24.1272      -29.7066
    30        0.0012        0.7850        0.6303        0.4948      -98.9795      -98.9795
    31        0.0045        0.7850        0.6312        0.4955      -98.9795      -98.9795
    32        0.0016        0.7850        0.6312        0.4955      -98.9795      -98.9795
    33        0.0022        0.7850        0.6312        0.4955      -98.9795      -98.9795
