 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0400
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0080
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7090
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           956
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0010        0.0380        0.0000        0.0000             -             -
     2        0.0097        0.1669        0.1513        0.0252             -             -
     3        0.0122        0.2968        0.1645        0.0488      -98.9795      -98.9795
     4        0.0018        0.3527        0.1521        0.0537       -8.4943       -6.8728
     5        0.0097        0.4800        0.1549        0.0744      -98.9795      -53.0027
     6        0.0011        0.5169        0.1493        0.0772       -9.6422       -8.3973
     7        0.0002        0.5169        0.1493        0.0772      -98.9795      -98.9795
     8        0.0001        0.5169        0.1493        0.0772      -98.9795      -98.9795
     9        0.0011        0.5552        0.1441        0.0800       -9.1848       -7.8257
    10        0.0076        0.6722        0.1444        0.0971      -98.9795      -26.5153
    11        0.0018        0.7090        0.1438        0.1020       -8.3255       -6.2040
    12        0.0153        0.7090        0.1665        0.1181      -98.9795      -98.9795
    13        0.0002        0.7090        0.1665        0.1181      -98.9795      -98.9795
    14        0.0005        0.7090        0.1665        0.1181      -46.6139      -98.9795
    15        0.0031        0.7090        0.1695        0.1201       -8.6105       -6.1325
    16        0.0161        0.7090        0.1933        0.1370      -98.9795      -98.9795
    17        0.0047        0.7090        0.1977        0.1402       -8.6595       -6.1341
    18        0.0032        0.7090        0.2000        0.1418       -8.3642       -6.6403
    19        0.0151        0.7090        0.2210        0.1567      -98.9795      -14.2902
    20        0.0080        0.7090        0.2289        0.1623       -9.3478       -6.2518
    21        0.0037        0.7090        0.2311        0.1639       -8.9125       -7.4721
    22        0.0151        0.7090        0.2490        0.1765      -17.0191       -8.1560
    23        0.0027        0.7090        0.2500        0.1772      -12.7415      -12.1983
    24        0.0013        0.7090        0.2501        0.1773      -98.9795      -98.9795
    25        0.0065        0.7090        0.2549        0.1807       -8.2921       -6.4592
    26        0.0022        0.7090        0.2555        0.1812      -18.0393      -19.4379
    27        0.0156        0.7090        0.2719        0.1928      -11.7676       -6.9082
    28        0.0197        0.7090        0.2924        0.2073      -12.8033       -7.1845
    29        0.0135        0.7090        0.3034        0.2151       -8.5374       -6.1341
    30        0.0007        0.7090        0.3034        0.2151      -98.9795      -98.9795
    31        0.0028        0.7090        0.3042        0.2157      -29.4599      -41.1892
    32        0.0010        0.7090        0.3042        0.2157      -98.9795      -98.9795
    33        0.0013        0.7090        0.3042        0.2157      -98.9795      -98.9795
    34        0.0005        0.7090        0.3042        0.2157      -98.9795      -98.9795
    35        0.0018        0.7090        0.3044        0.2158      -98.9795      -98.9795
    36        0.0135        0.7090        0.3148        0.2232       -8.3541       -6.1820
    37        0.0097        0.7090        0.3207        0.2274       -8.5920       -7.0243
    38        0.0069        0.7090        0.3240        0.2297      -10.2608       -9.1525
    39        0.0031        0.7090        0.3249        0.2303      -37.7262      -66.4045
    40        0.0042        0.7090        0.3263        0.2313      -18.0428      -19.4430
    41        0.0009        0.7090        0.3263        0.2313      -98.9795      -98.9795
    42        0.0137        0.7090        0.3357        0.2380       -8.2772       -6.3914
    43        0.0102        0.7090        0.3415        0.2421       -8.9359       -7.5032
    44        0.0145        0.7090        0.3510        0.2489       -8.3105       -6.5158
    45        0.0042        0.7090        0.3523        0.2498      -28.0693      -37.9166
    46        0.0018        0.7090        0.3524        0.2498      -98.9795      -98.9795
    47        0.0242        0.7090        0.3713        0.2632       -8.7728       -6.1435
    48        0.0018        0.7090        0.3713        0.2633      -98.9795      -98.9795
    49        0.0018        0.7090        0.3714        0.2633      -98.9795      -98.9795
    50        0.0069        0.7090        0.3739        0.2651      -14.7375      -14.7805
    51        0.0124        0.7090        0.3804        0.2697       -9.2921       -7.9616
    52        0.0001        0.7090        0.3804        0.2697      -98.9795      -98.9795
    53        0.0027        0.7090        0.3807        0.2699      -98.9795      -98.9795
    54        0.0018        0.7090        0.3808        0.2700      -98.9795      -98.9795
    55        0.0022        0.7090        0.3809        0.2701      -98.9795      -98.9795
    56        0.0080        0.7090        0.3840        0.2723      -13.4067      -13.0424
    57        0.0032        0.7090        0.3846        0.2727      -98.9795      -98.9795
    58        0.0053        0.7090        0.3862        0.2738      -28.9684      -40.0076
    59        0.0102        0.7090        0.3906        0.2769      -11.0598      -10.1224
    60        0.0009        0.7090        0.3906        0.2769      -98.9795      -98.9795
    61        0.0015        0.7090        0.3906        0.2769      -98.9795      -98.9795
    62        0.0038        0.7090        0.3914        0.2775      -98.9795      -98.9795
    63        0.0002        0.7090        0.3914        0.2775      -98.9795      -98.9795
    64        0.0012        0.7090        0.3914        0.2775      -98.9795      -98.9795
    65        0.0018        0.7090        0.3915        0.2775      -98.9795      -98.9795
    66        0.0022        0.7090        0.3916        0.2776      -98.9795      -98.9795
    67        0.0053        0.7090        0.3932        0.2787      -33.6893      -52.6684
    68        0.0026        0.7090        0.3934        0.2790      -98.9795      -98.9795
    69        0.0071        0.7090        0.3959        0.2807      -17.6309      -18.8319
    70        0.0006        0.7090        0.3959        0.2807      -98.9795      -98.9795
    71        0.0001        0.7090        0.3959        0.2807      -98.9795      -98.9795
    72        0.0002        0.7090        0.3959        0.2807      -98.9795      -98.9795
