 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.1040
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0080
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.4980
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           922
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0004        0.0746        0.0000        0.0000             -             -
     2        0.0037        0.2850        0.0886        0.0253             -             -
     3        0.0047        0.4980        0.0967        0.0481      -98.9795      -98.9795
     4        0.0007        0.4980        0.0987        0.0491       -8.5031       -6.8868
     5        0.0037        0.4980        0.1185        0.0590      -98.9795      -14.3091
     6        0.0004        0.4980        0.1190        0.0593      -23.6986      -28.8972
     7        0.0001        0.4980        0.1190        0.0593      -98.9795      -98.9795
     8        0.0004        0.4980        0.1195        0.0595      -24.3452      -30.1240
     9        0.0029        0.4980        0.1311        0.0653      -10.3355       -6.5111
    10        0.0007        0.4980        0.1322        0.0658      -14.5218      -14.4940
    11        0.0059        0.4980        0.1576        0.0785      -20.3044       -8.7591
    12        0.0001        0.4980        0.1576        0.0785      -98.9795      -98.9795
    13        0.0002        0.4980        0.1576        0.0785      -98.9795      -98.9795
    14        0.0012        0.4980        0.1596        0.0795      -13.7403      -13.4716
    15        0.0062        0.4980        0.1809        0.0901      -10.2392       -6.4845
    16        0.0018        0.4980        0.1838        0.0915      -13.1683      -12.7381
    17        0.0012        0.4980        0.1854        0.0923      -28.5068      -38.9233
    18        0.0058        0.4980        0.2011        0.1002       -8.3539       -6.1821
    19        0.0031        0.4980        0.2067        0.1029      -10.4940       -9.4354
    20        0.0014        0.4980        0.2083        0.1038      -52.8499      -98.9795
    21        0.0058        0.4980        0.2215        0.1103       -8.3932       -6.6974
    22        0.0010        0.4980        0.2223        0.1107      -98.9795      -98.9795
    23        0.0005        0.4980        0.2224        0.1108      -98.9795      -98.9795
    24        0.0025        0.4980        0.2259        0.1125      -17.6369      -18.8408
    25        0.0009        0.4980        0.2265        0.1128      -98.9795      -98.9795
    26        0.0060        0.4980        0.2386        0.1188       -8.8055       -7.3279
    27        0.0076        0.4980        0.2540        0.1265       -8.5529       -6.9650
    28        0.0052        0.4980        0.2620        0.1305      -11.3710      -10.5016
    29        0.0003        0.4980        0.2620        0.1305      -98.9795      -98.9795
    30        0.0011        0.4980        0.2627        0.1308      -98.9795      -98.9795
    31        0.0004        0.4980        0.2627        0.1308      -98.9795      -98.9795
    32        0.0005        0.4980        0.2627        0.1308      -98.9795      -98.9795
    33        0.0002        0.4980        0.2627        0.1308      -98.9795      -98.9795
    34        0.0007        0.4980        0.2629        0.1309      -98.9795      -98.9795
    35        0.0052        0.4980        0.2705        0.1347      -12.3401      -11.6961
    36        0.0037        0.4980        0.2751        0.1370      -22.4765      -26.6683
    37        0.0027        0.4980        0.2781        0.1385      -98.9795      -98.9795
    38        0.0012        0.4980        0.2787        0.1388      -98.9795      -98.9795
    39        0.0016        0.4980        0.2799        0.1394      -98.9795      -98.9795
    40        0.0004        0.4980        0.2799        0.1394      -98.9795      -98.9795
    41        0.0053        0.4980        0.2871        0.1430      -14.5052      -14.4720
    42        0.0040        0.4980        0.2919        0.1453      -27.3315      -36.2661
    43        0.0056        0.4980        0.2992        0.1490      -15.6192      -15.9731
    44        0.0016        0.4980        0.3002        0.1495      -98.9795      -98.9795
    45        0.0007        0.4980        0.3003        0.1495      -98.9795      -98.9795
    46        0.0094        0.4980        0.3146        0.1567      -10.2129       -9.0944
    47        0.0007        0.4980        0.3147        0.1567      -98.9795      -98.9795
    48        0.0007        0.4980        0.3148        0.1568      -98.9795      -98.9795
    49        0.0027        0.4980        0.3170        0.1579      -98.9795      -98.9795
    50        0.0048        0.4980        0.3224        0.1605      -35.3074      -57.7934
    51        0.0010        0.4980        0.3226        0.1607      -98.9795      -98.9795
    52        0.0007        0.4980        0.3227        0.1607      -98.9795      -98.9795
    53        0.0008        0.4980        0.3228        0.1608      -98.9795      -98.9795
    54        0.0031        0.4980        0.3255        0.1621      -98.9795      -98.9795
    55        0.0012        0.4980        0.3259        0.1623      -98.9795      -98.9795
    56        0.0021        0.4980        0.3273        0.1630      -98.9795      -98.9795
    57        0.0040        0.4980        0.3312        0.1650      -98.9795      -98.9795
    58        0.0004        0.4980        0.3312        0.1650      -98.9795      -98.9795
    59        0.0006        0.4980        0.3312        0.1650      -98.9795      -98.9795
    60        0.0015        0.4980        0.3319        0.1653      -98.9795      -98.9795
    61        0.0001        0.4980        0.3319        0.1653      -98.9795      -98.9795
    62        0.0005        0.4980        0.3319        0.1653      -98.9795      -98.9795
    63        0.0007        0.4980        0.3319        0.1653      -98.9795      -98.9795
    64        0.0008        0.4980        0.3320        0.1653      -98.9795      -98.9795
    65        0.0020        0.4980        0.3332        0.1659      -98.9795      -98.9795
    66        0.0010        0.4980        0.3334        0.1661      -98.9795      -98.9795
    67        0.0027        0.4980        0.3355        0.1671      -98.9795      -98.9795
    68        0.0002        0.4980        0.3355        0.1671      -98.9795      -98.9795
    69        0.0001        0.4980        0.3355        0.1671      -98.9795      -98.9795
    70        0.0047        0.4980        0.3403        0.1695      -96.1231      -98.9795
    71        0.0010        0.4980        0.3405        0.1696      -98.9795      -98.9795
    72        0.0004        0.4980        0.3405        0.1696      -98.9795      -98.9795
    73        0.0004        0.4980        0.3405        0.1696      -98.9795      -98.9795
    74        0.0006        0.4980        0.3405        0.1696      -98.9795      -98.9795
    75        0.0037        0.4980        0.3437        0.1712      -98.9795      -98.9795
    76        0.0009        0.4980        0.3439        0.1712      -98.9795      -98.9795
    77        0.0007        0.4980        0.3439        0.1713      -98.9795      -98.9795
    78        0.0031        0.4980        0.3463        0.1724      -98.9795      -98.9795
    79        0.0033        0.4980        0.3489        0.1737      -98.9795      -98.9795
    80        0.0033        0.4980        0.3515        0.1750      -98.9795      -98.9795
    81        0.0040        0.4980        0.3549        0.1768      -98.9795      -98.9795
    82        0.0052        0.4980        0.3600        0.1793      -98.9795      -98.9795
    83        0.0004        0.4980        0.3600        0.1793      -98.9795      -98.9795
    84        0.0017        0.4980        0.3607        0.1796      -98.9795      -98.9795
    85        0.0025        0.4980        0.3622        0.1804      -98.9795      -98.9795
    86        0.0027        0.4980        0.3639        0.1812      -98.9795      -98.9795
    87        0.0011        0.4980        0.3641        0.1813      -98.9795      -98.9795
    88        0.0004        0.4980        0.3641        0.1813      -98.9795      -98.9795
    89        0.0008        0.4980        0.3642        0.1814      -98.9795      -98.9795
    90        0.0004        0.4980        0.3642        0.1814      -98.9795      -98.9795
    91        0.0095        0.4980        0.3752        0.1869      -17.0904      -18.0437
    92        0.0003        0.4980        0.3752        0.1869      -98.9795      -98.9795
    93        0.0007        0.4980        0.3752        0.1869      -98.9795      -98.9795
    94        0.0004        0.4980        0.3752        0.1869      -98.9795      -98.9795
    95        0.0003        0.4980        0.3752        0.1869      -98.9795      -98.9795
    96        0.0021        0.4980        0.3762        0.1874      -98.9795      -98.9795
    97        0.0023        0.4980        0.3774        0.1879      -98.9795      -98.9795
    98        0.0005        0.4980        0.3774        0.1879      -98.9795      -98.9795
    99        0.0089        0.4980        0.3871        0.1928      -22.9907      -27.5922
   100        0.0033        0.4980        0.3892        0.1938      -98.9795      -98.9795
   101        0.0020        0.4980        0.3900        0.1942      -98.9795      -98.9795
   102        0.0011        0.4980        0.3901        0.1943      -98.9795      -98.9795
   103        0.0011        0.4980        0.3903        0.1944      -98.9795      -98.9795
   104        0.0007        0.4980        0.3903        0.1944      -98.9795      -98.9795
   105        0.0027        0.4980        0.3917        0.1951      -98.9795      -98.9795
   106        0.0005        0.4980        0.3917        0.1951      -98.9795      -98.9795
   107        0.0112        0.4980        0.4042        0.2013      -17.9256      -19.2682
   108        0.0039        0.4980        0.4068        0.2026      -98.9795      -98.9795
   109        0.0130        0.4980        0.4212        0.2098      -16.6112      -17.3577
   110        0.0008        0.4980        0.4212        0.2098      -98.9795      -98.9795
   111        0.0048        0.4980        0.4245        0.2114      -98.9795      -98.9795
   112        0.0012        0.4980        0.4246        0.2115      -98.9795      -98.9795
