 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0100
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0080
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.2150
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           958
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0010      NO EROSION
     2        0.0101        0.0225        0.0000        0.0000             -             -
     3        0.0128        0.0499        0.2107        0.0105             -             -
     4        0.0018        0.0499        0.2107        0.0105       -8.4380       -6.7784
     5        0.0101        0.0725        0.2107        0.0153             -             -
     6        0.0011        0.0725        0.2107        0.0153      -10.4210       -9.3468
     7        0.0003        0.0725        0.2107        0.0153      -98.9795      -98.9795
     8        0.0001        0.0725        0.2107        0.0153      -98.9795      -98.9795
     9        0.0011        0.0725        0.2107        0.0153      -10.4210       -9.3468
    10        0.0080        0.0906        0.2107        0.0191             -             -
    11        0.0019        0.0906        0.2107        0.0191       -8.3618       -6.6354
    12        0.0160        0.1230        0.2302        0.0283             -             -
    13        0.0002        0.1230        0.2302        0.0283      -98.9795      -98.9795
    14        0.0005        0.1230        0.2302        0.0283      -98.9795      -98.9795
    15        0.0032        0.1297        0.2213        0.0287       -8.3526       -6.1829
    16        0.0169        0.1634        0.2353        0.0384             -             -
    17        0.0050        0.1780        0.2237        0.0398       -9.6723       -6.3322
    18        0.0033        0.1856        0.2170        0.0403       -8.5354       -6.1342
    19        0.0158        0.2131        0.2188        0.0466      -98.9795      -98.9795
    20        0.0084        0.2150        0.2333        0.0502      -43.7014      -11.0764
    21        0.0039        0.2150        0.2334        0.0502       -8.6721       -6.1348
    22        0.0158        0.2150        0.2495        0.0536      -98.9795      -91.5753
    23        0.0028        0.2150        0.2495        0.0536       -8.4512       -6.8012
    24        0.0014        0.2150        0.2495        0.0536      -12.3564      -11.7163
    25        0.0068        0.2150        0.2522        0.0542      -10.9058       -6.6698
    26        0.0023        0.2150        0.2522        0.0542       -9.0555       -7.6597
    27        0.0163        0.2150        0.2692        0.0579      -98.9795      -22.5924
    28        0.0207        0.2150        0.2918        0.0627      -98.9795      -30.9669
    29        0.0141        0.2150        0.3035        0.0653      -17.1473       -8.1818
    30        0.0008        0.2150        0.3035        0.0653      -98.9795      -98.9795
    31        0.0029        0.2150        0.3035        0.0653      -10.4439       -9.3747
    32        0.0010        0.2150        0.3035        0.0653      -98.9795      -98.9795
    33        0.0014        0.2150        0.3035        0.0653      -29.5230      -41.3431
    34        0.0005        0.2150        0.3035        0.0653      -98.9795      -98.9795
    35        0.0019        0.2150        0.3035        0.0653      -15.9339      -16.4072
    36        0.0141        0.2150        0.3145        0.0676      -14.0920       -7.5079
    37        0.0101        0.2150        0.3193        0.0687       -9.2713       -6.2341
    38        0.0072        0.2150        0.3207        0.0690       -8.2969       -6.2402
    39        0.0032        0.2150        0.3207        0.0690      -10.8130       -9.8225
    40        0.0044        0.2150        0.3207        0.0690       -9.0258       -7.6211
    41        0.0010        0.2150        0.3207        0.0690      -98.9795      -98.9795
    42        0.0144        0.2150        0.3311        0.0712      -11.8684       -6.9356
    43        0.0107        0.2150        0.3361        0.0723       -8.9228       -6.1646
    44        0.0152        0.2150        0.3467        0.0746      -11.0087       -6.6985
    45        0.0044        0.2150        0.3467        0.0746      -10.0329       -8.8755
    46        0.0018        0.2150        0.3467        0.0746      -42.9054      -89.9605
    47        0.0253        0.2150        0.3718        0.0799      -24.0329       -9.3197
    48        0.0018        0.2150        0.3718        0.0799      -98.9795      -98.9795
    49        0.0018        0.2150        0.3718        0.0799      -98.9795      -98.9795
    50        0.0072        0.2150        0.3722        0.0800       -8.7135       -7.2004
    51        0.0130        0.2150        0.3782        0.0813       -8.5652       -6.1328
    52        0.0001        0.2150        0.3782        0.0813      -98.9795      -98.9795
    53        0.0028        0.2150        0.3782        0.0813      -22.5731      -26.8403
    54        0.0019        0.2150        0.3782        0.0813      -98.9795      -98.9795
    55        0.0023        0.2150        0.3782        0.0813      -40.5189      -78.0865
    56        0.0084        0.2150        0.3794        0.0816       -8.4708       -6.8341
    57        0.0033        0.2150        0.3794        0.0816      -16.9813      -17.8866
    58        0.0056        0.2150        0.3794        0.0816      -10.0263       -8.8674
    59        0.0107        0.2150        0.3827        0.0823       -8.2738       -6.3218
    60        0.0010        0.2150        0.3827        0.0823      -98.9795      -98.9795
    61        0.0016        0.2150        0.3827        0.0823      -98.9795      -98.9795
    62        0.0040        0.2150        0.3827        0.0823      -13.5886      -13.2759
