 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0670
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0080
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.2880
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           875
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0002        0.0266        0.0000        0.0000             -             -
     2        0.0016        0.1196        0.0682        0.0082             -             -
     3        0.0020        0.2108        0.0746        0.0157      -98.9795      -98.9795
     4        0.0003        0.2482        0.0690        0.0171       -8.3996       -6.7094
     5        0.0016        0.2880        0.0829        0.0239      -98.9795      -98.9795
     6        0.0002        0.2880        0.0830        0.0239      -11.9021      -11.1533
     7        0.0002        0.2880        0.0831        0.0239      -11.9282      -11.1855
     8        0.0012        0.2880        0.0904        0.0260      -15.0819       -7.7401
     9        0.0003        0.2880        0.0908        0.0262      -10.3823       -9.3000
    10        0.0025        0.2880        0.1083        0.0312      -98.9795      -16.1326
    11        0.0001        0.2880        0.1083        0.0312      -98.9795      -98.9795
    12        0.0005        0.2880        0.1092        0.0314      -10.1735       -9.0465
    13        0.0026        0.2880        0.1242        0.0358      -16.4056       -8.0296
    14        0.0008        0.2880        0.1261        0.0363       -9.5778       -8.3179
    15        0.0005        0.2880        0.1267        0.0365      -14.7670      -14.8199
    16        0.0024        0.2880        0.1376        0.0396       -9.4662       -6.2802
    17        0.0013        0.2880        0.1413        0.0407       -8.7499       -7.2514
    18        0.0006        0.2880        0.1420        0.0409      -17.5527      -18.7169
    19        0.0024        0.2880        0.1512        0.0435       -8.4226       -6.1524
    20        0.0004        0.2880        0.1514        0.0436      -98.9795      -98.9795
    21        0.0002        0.2880        0.1514        0.0436      -98.9795      -98.9795
    22        0.0010        0.2880        0.1531        0.0441      -11.8493      -11.0883
    23        0.0004        0.2880        0.1533        0.0441      -98.9795      -98.9795
    24        0.0025        0.2880        0.1619        0.0466       -8.2755       -6.3048
    25        0.0032        0.2880        0.1733        0.0499       -8.3389       -6.1925
    26        0.0022        0.2880        0.1790        0.0515       -9.0368       -7.6354
    27        0.0001        0.2880        0.1790        0.0515      -98.9795      -98.9795
    28        0.0004        0.2880        0.1790        0.0515      -98.9795      -98.9795
    29        0.0002        0.2880        0.1790        0.0515      -98.9795      -98.9795
    30        0.0002        0.2880        0.1790        0.0515      -98.9795      -98.9795
    31        0.0001        0.2880        0.1790        0.0515      -98.9795      -98.9795
    32        0.0003        0.2880        0.1790        0.0515      -98.9795      -98.9795
    33        0.0022        0.2880        0.1843        0.0531       -9.3906       -8.0853
    34        0.0016        0.2880        0.1871        0.0539      -12.4727      -11.8615
    35        0.0011        0.2880        0.1886        0.0543      -23.0206      -27.6465
    36        0.0005        0.2880        0.1888        0.0544      -98.9795      -98.9795
    37        0.0007        0.2880        0.1893        0.0545      -98.9795      -98.9795
    38        0.0002        0.2880        0.1893        0.0545      -98.9795      -98.9795
    39        0.0022        0.2880        0.1940        0.0559      -10.2249       -9.1090
