 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.1330
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0080
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.1030
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           601
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0002        0.0685        0.0000        0.0000             -             -
     2        0.0003        0.1030        0.0407        0.0042      -98.9795      -98.9795
     3        0.0002        0.1030        0.0475        0.0049      -11.0770       -6.7176
     4        0.0002        0.1030        0.0529        0.0054       -8.6120       -6.1325
     5        0.0004        0.1030        0.0660        0.0068      -11.0025       -6.6968
     6        0.0001        0.1030        0.0665        0.0069      -21.1338      -24.3454
     7        0.0004        0.1030        0.0757        0.0078       -8.2960       -6.2418
     8        0.0001        0.1030        0.0760        0.0078      -97.6396      -98.9795
     9        0.0001        0.1030        0.0764        0.0079      -98.9795      -98.9795
    10        0.0004        0.1030        0.0835        0.0086       -8.6253       -7.0737
    11        0.0002        0.1030        0.0853        0.0088      -18.7884      -20.5732
    12        0.0001        0.1030        0.0854        0.0088      -98.9795      -98.9795
    13        0.0004        0.1030        0.0912        0.0094       -9.7780       -8.5642
    14        0.0001        0.1030        0.0913        0.0094      -98.9795      -98.9795
    15        0.0002        0.1030        0.0927        0.0095      -32.9685      -50.5286
    16        0.0001        0.1030        0.0928        0.0096      -98.9795      -98.9795
    17        0.0004        0.1030        0.0976        0.0101      -11.3890      -10.5237
    18        0.0005        0.1030        0.1040        0.0107      -10.6369       -9.6087
    19        0.0003        0.1030        0.1065        0.0110      -27.7848      -37.2736
    20        0.0001        0.1030        0.1065        0.0110      -98.9795      -98.9795
    21        0.0003        0.1030        0.1089        0.0112      -33.6849      -52.6552
    22        0.0002        0.1030        0.1098        0.0113      -98.9795      -98.9795
    23        0.0002        0.1030        0.1107        0.0114      -98.9795      -98.9795
    24        0.0001        0.1030        0.1107        0.0114      -98.9795      -98.9795
    25        0.0001        0.1030        0.1107        0.0114      -98.9795      -98.9795
    26        0.0004        0.1030        0.1144        0.0118      -20.9141      -23.9771
    27        0.0003        0.1030        0.1165        0.0120      -98.9795      -98.9795
    28        0.0004        0.1030        0.1198        0.0123      -28.8537      -39.7358
    29        0.0001        0.1030        0.1198        0.0123      -98.9795      -98.9795
    30        0.0006        0.1030        0.1260        0.0130      -15.2556      -15.4770
    31        0.0002        0.1030        0.1265        0.0130      -98.9795      -98.9795
    32        0.0003        0.1030        0.1281        0.0132      -98.9795      -98.9795
    33        0.0001        0.1030        0.1281        0.0132      -98.9795      -98.9795
    34        0.0001        0.1030        0.1281        0.0132      -98.9795      -98.9795
    35        0.0002        0.1030        0.1286        0.0132      -98.9795      -98.9795
    36        0.0001        0.1030        0.1286        0.0132      -98.9795      -98.9795
    37        0.0001        0.1030        0.1286        0.0132      -98.9795      -98.9795
    38        0.0003        0.1030        0.1301        0.0134      -98.9795      -98.9795
    39        0.0001        0.1030        0.1301        0.0134      -98.9795      -98.9795
    40        0.0001        0.1030        0.1301        0.0134      -98.9795      -98.9795
    41        0.0001        0.1030        0.1301        0.0134      -98.9795      -98.9795
    42        0.0001        0.1030        0.1301        0.0134      -98.9795      -98.9795
    43        0.0002        0.1030        0.1306        0.0134      -98.9795      -98.9795
    44        0.0003        0.1030        0.1321        0.0136      -98.9795      -98.9795
    45        0.0001        0.1030        0.1321        0.0136      -98.9795      -98.9795
    46        0.0002        0.1030        0.1325        0.0136      -98.9795      -98.9795
    47        0.0001        0.1030        0.1325        0.0136      -98.9795      -98.9795
    48        0.0002        0.1030        0.1329        0.0137      -98.9795      -98.9795
    49        0.0002        0.1030        0.1333        0.0137      -98.9795      -98.9795
    50        0.0002        0.1030        0.1337        0.0138      -98.9795      -98.9795
    51        0.0003        0.1030        0.1350        0.0139      -98.9795      -98.9795
    52        0.0003        0.1030        0.1364        0.0140      -98.9795      -98.9795
    53        0.0001        0.1030        0.1364        0.0140      -98.9795      -98.9795
    54        0.0002        0.1030        0.1367        0.0141      -98.9795      -98.9795
    55        0.0002        0.1030        0.1371        0.0141      -98.9795      -98.9795
