 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0470
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0080
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.5820
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           956
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0010        0.0474        0.0000        0.0000             -             -
     2        0.0097        0.1985        0.1474        0.0293             -             -
     3        0.0123        0.3516        0.1604        0.0564      -98.9795      -98.9795
     4        0.0018        0.4192        0.1484        0.0622       -8.5215       -6.9162
     5        0.0097        0.5692        0.1510        0.0860      -98.9795      -45.9763
     6        0.0011        0.5820        0.1537        0.0895       -9.7060       -8.4758
     7        0.0002        0.5820        0.1537        0.0895      -98.9795      -98.9795
     8        0.0001        0.5820        0.1537        0.0895      -98.9795      -98.9795
     9        0.0011        0.5820        0.1544        0.0899       -9.9786       -8.8093
    10        0.0077        0.5820        0.1707        0.0993      -85.5699      -12.4943
    11        0.0019        0.5820        0.1724        0.1003       -8.7996       -7.3199
    12        0.0154        0.5820        0.2037        0.1186      -98.9795      -98.9795
    13        0.0002        0.5820        0.2037        0.1186      -98.9795      -98.9795
    14        0.0005        0.5820        0.2037        0.1186      -98.9795      -98.9795
    15        0.0031        0.5820        0.2066        0.1202       -8.7488       -7.2497
    16        0.0162        0.5820        0.2364        0.1376      -58.9561      -11.7830
    17        0.0048        0.5820        0.2408        0.1401       -8.6404       -7.0958
    18        0.0032        0.5820        0.2429        0.1414      -10.8917       -9.9180
    19        0.0152        0.5820        0.2654        0.1545      -12.1704       -7.0172
    20        0.0081        0.5820        0.2735        0.1592       -8.3037       -6.4965
    21        0.0037        0.5820        0.2757        0.1604      -12.9594      -12.4732
    22        0.0152        0.5820        0.2945        0.1714       -9.2058       -6.2196
    23        0.0027        0.5820        0.2957        0.1721      -33.1772      -51.1391
    24        0.0013        0.5820        0.2958        0.1722      -98.9795      -98.9795
    25        0.0066        0.5820        0.3007        0.1750       -9.7120       -8.4832
    26        0.0022        0.5820        0.3014        0.1754      -98.9795      -98.9795
    27        0.0157        0.5820        0.3187        0.1855       -8.5149       -6.1359
    28        0.0199        0.5820        0.3408        0.1984       -8.7458       -6.1407
    29        0.0136        0.5820        0.3524        0.2051       -8.4971       -6.8772
    30        0.0007        0.5820        0.3524        0.2051      -98.9795      -98.9795
    31        0.0028        0.5820        0.3532        0.2056      -98.9795      -98.9795
    32        0.0010        0.5820        0.3532        0.2056      -98.9795      -98.9795
    33        0.0013        0.5820        0.3532        0.2056      -98.9795      -98.9795
    34        0.0005        0.5820        0.3532        0.2056      -98.9795      -98.9795
    35        0.0018        0.5820        0.3534        0.2057      -98.9795      -98.9795
    36        0.0136        0.5820        0.3643        0.2120       -8.7217       -7.2119
    37        0.0097        0.5820        0.3704        0.2156      -10.8537       -9.8719
    38        0.0070        0.5820        0.3741        0.2177      -15.9626      -16.4470
    39        0.0031        0.5820        0.3750        0.2182      -98.9795      -98.9795
    40        0.0042        0.5820        0.3766        0.2192      -98.9795      -98.9795
    41        0.0009        0.5820        0.3766        0.2192      -98.9795      -98.9795
    42        0.0138        0.5820        0.3866        0.2250       -9.2598       -7.9209
    43        0.0103        0.5820        0.3926        0.2285      -11.7558      -10.9732
    44        0.0146        0.5820        0.4027        0.2344       -9.5101       -8.2340
    45        0.0042        0.5820        0.4041        0.2352      -98.9795      -98.9795
    46        0.0018        0.5820        0.4041        0.2352      -98.9795      -98.9795
    47        0.0244        0.5820        0.4246        0.2471       -8.3182       -6.5362
    48        0.0018        0.5820        0.4246        0.2471      -98.9795      -98.9795
    49        0.0018        0.5820        0.4247        0.2472      -98.9795      -98.9795
    50        0.0070        0.5820        0.4277        0.2489      -35.9831      -60.0763
    51        0.0125        0.5820        0.4345        0.2529      -12.6269      -12.0545
    52        0.0001        0.5820        0.4345        0.2529      -98.9795      -98.9795
    53        0.0027        0.5820        0.4349        0.2531      -98.9795      -98.9795
    54        0.0018        0.5820        0.4349        0.2531      -98.9795      -98.9795
    55        0.0022        0.5820        0.4351        0.2532      -98.9795      -98.9795
    56        0.0081        0.5820        0.4387        0.2553      -27.7930      -37.2920
    57        0.0032        0.5820        0.4393        0.2557      -98.9795      -98.9795
    58        0.0054        0.5820        0.4411        0.2567      -98.9795      -98.9795
    59        0.0103        0.5820        0.4461        0.2597      -18.0259      -19.4177
    60        0.0009        0.5820        0.4461        0.2597      -98.9795      -98.9795
    61        0.0015        0.5820        0.4461        0.2597      -98.9795      -98.9795
    62        0.0038        0.5820        0.4470        0.2602      -98.9795      -98.9795
    63        0.0002        0.5820        0.4470        0.2602      -98.9795      -98.9795
    64        0.0012        0.5820        0.4470        0.2602      -98.9795      -98.9795
    65        0.0018        0.5820        0.4470        0.2602      -98.9795      -98.9795
    66        0.0022        0.5820        0.4471        0.2602      -98.9795      -98.9795
    67        0.0053        0.5820        0.4488        0.2612      -98.9795      -98.9795
    68        0.0026        0.5820        0.4491        0.2614      -98.9795      -98.9795
    69        0.0071        0.5820        0.4519        0.2630      -72.6795      -98.9795
    70        0.0006        0.5820        0.4519        0.2630      -98.9795      -98.9795
    71        0.0001        0.5820        0.4519        0.2630      -98.9795      -98.9795
    72        0.0002        0.5820        0.4519        0.2630      -98.9795      -98.9795
    73        0.0123        0.5820        0.4582        0.2667      -15.2458      -15.4638
    74        0.0026        0.5820        0.4584        0.2668      -98.9795      -98.9795
    75        0.0009        0.5820        0.4584        0.2668      -98.9795      -98.9795
    76        0.0011        0.5820        0.4584        0.2668      -98.9795      -98.9795
    77        0.0015        0.5820        0.4584        0.2668      -98.9795      -98.9795
    78        0.0097        0.5820        0.4628        0.2694      -24.9907      -31.3837
    79        0.0022        0.5820        0.4629        0.2694      -98.9795      -98.9795
    80        0.0019        0.5820        0.4629        0.2694      -98.9795      -98.9795
    81        0.0081        0.5820        0.4662        0.2713      -52.2708      -98.9795
    82        0.0086        0.5820        0.4698        0.2734      -42.7648      -89.2043
    83        0.0086        0.5820        0.4733        0.2755      -47.0047      -98.9795
    84        0.0105        0.5820        0.4780        0.2782      -25.3610      -32.1221
    85        0.0136        0.5820        0.4847        0.2821      -16.3251      -16.9535
    86        0.0009        0.5820        0.4847        0.2821      -98.9795      -98.9795
    87        0.0044        0.5820        0.4856        0.2826      -98.9795      -98.9795
    88        0.0064        0.5820        0.4876        0.2838      -98.9795      -98.9795
    89        0.0070        0.5820        0.4900        0.2852      -98.9795      -98.9795
    90        0.0028        0.5820        0.4902        0.2853      -98.9795      -98.9795
    91        0.0011        0.5820        0.4902        0.2853      -98.9795      -98.9795
    92        0.0021        0.5820        0.4902        0.2853      -98.9795      -98.9795
    93        0.0011        0.5820        0.4902        0.2853      -98.9795      -98.9795
    94        0.0249        0.5820        0.5055        0.2942       -9.8196       -8.6152
    95        0.0007        0.5820        0.5055        0.2942      -98.9795      -98.9795
    96        0.0001        0.5820        0.5055        0.2942      -98.9795      -98.9795
    97        0.0018        0.5820        0.5055        0.2942      -98.9795      -98.9795
    98        0.0010        0.5820        0.5055        0.2942      -98.9795      -98.9795
    99        0.0008        0.5820        0.5055        0.2942      -98.9795      -98.9795
   100        0.0056        0.5820        0.5070        0.2950      -98.9795      -98.9795
   101        0.0059        0.5820        0.5085        0.2960      -98.9795      -98.9795
   102        0.0012        0.5820        0.5085        0.2960      -98.9795      -98.9795
   103        0.0233        0.5820        0.5215        0.3035      -10.9596      -10.0005
   104        0.0086        0.5820        0.5244        0.3052      -98.9795      -98.9795
   105        0.0051        0.5820        0.5255        0.3058      -98.9795      -98.9795
   106        0.0029        0.5820        0.5257        0.3059      -98.9795      -98.9795
   107        0.0029        0.5820        0.5259        0.3061      -98.9795      -98.9795
   108        0.0001        0.5820        0.5259        0.3061      -98.9795      -98.9795
   109        0.0019        0.5820        0.5259        0.3061      -98.9795      -98.9795
   110        0.0070        0.5820        0.5279        0.3072      -98.9795      -98.9795
   111        0.0013        0.5820        0.5279        0.3072      -98.9795      -98.9795
   112        0.0291        0.5820        0.5448        0.3171      -10.0658       -8.9154
